,lnc
0,ENSG00000254837
1,ENSG00000245149
2,ENSG00000261801
3,ENSG00000196167
4,ENSG00000257621
5,ENSG00000235831
6,ENSG00000236841
7,ENSG00000249631
8,ENSG00000261211
9,ENSG00000224699
10,ENSG00000261098
11,ENSG00000277342
12,ENSG00000263731
13,ENSG00000244649
14,ENSG00000236882
15,ENSG00000239332
16,ENSG00000225733
17,ENSG00000261578
18,ENSG00000226167
19,ENSG00000205885
20,ENSG00000263276
21,ENSG00000256128
22,ENSG00000236740
23,ENSG00000266805
24,ENSG00000228223
25,ENSG00000215246
26,ENSG00000261159
27,ENSG00000268205
28,ENSG00000260528
29,ENSG00000259248
30,ENSG00000224086
31,ENSG00000232098
32,ENSG00000249042
33,ENSG00000247675
34,ENSG00000229325
35,ENSG00000182366
36,ENSG00000224116
37,ENSG00000261026
38,ENSG00000229124
39,ENSG00000237505
40,ENSG00000223891
41,ENSG00000224189
42,ENSG00000234912
43,ENSG00000260763
44,ENSG00000253284
45,ENSG00000267053
46,ENSG00000273301
47,ENSG00000259345
48,ENSG00000272077
49,ENSG00000249476
50,ENSG00000224397
51,ENSG00000267009
52,ENSG00000255733
53,ENSG00000249201
54,ENSG00000275481
55,ENSG00000231528
56,ENSG00000224660
57,ENSG00000197332
58,ENSG00000234663
59,ENSG00000259820
60,ENSG00000248309
61,ENSG00000277587
62,ENSG00000246985
63,ENSG00000254635
64,ENSG00000273247
65,ENSG00000260677
66,ENSG00000235381
67,ENSG00000249816
68,ENSG00000227110
69,ENSG00000251136
70,ENSG00000260063
71,ENSG00000260233
72,ENSG00000261298
73,ENSG00000260910
74,ENSG00000250790
75,ENSG00000244479
76,ENSG00000250132
77,ENSG00000248092
78,ENSG00000236204
79,ENSG00000225439
80,ENSG00000236700
81,ENSG00000250208
82,ENSG00000232284
83,ENSG00000227477
84,ENSG00000247317
85,ENSG00000249669
86,ENSG00000162888
87,ENSG00000196668
88,ENSG00000177640
89,ENSG00000260918
90,ENSG00000250387
91,ENSG00000258057
