,lnc
0,ENSG00000257621
1,ENSG00000228223
2,ENSG00000224086
3,ENSG00000259820
4,ENSG00000251136
5,ENSG00000250790
6,ENSG00000231764
7,ENSG00000232677
8,ENSG00000249859
9,ENSG00000234072
10,ENSG00000251562
11,ENSG00000235531
12,ENSG00000177822
13,ENSG00000189223
14,ENSG00000260244
15,ENSG00000225484
16,ENSG00000235954
17,ENSG00000260966
18,ENSG00000204054
19,ENSG00000237187
20,ENSG00000261654
21,ENSG00000228794
22,ENSG00000179406
23,ENSG00000259943
24,ENSG00000247556
25,ENSG00000250508
26,ENSG00000203709
27,ENSG00000223482
28,ENSG00000244879
29,ENSG00000230551
30,ENSG00000215424
31,ENSG00000261824
32,ENSG00000238113
33,ENSG00000258441
34,ENSG00000260034
35,ENSG00000185904
36,ENSG00000234456
