,lnc
0,ENSG00000257621
1,ENSG00000225733
2,ENSG00000228223
3,ENSG00000224086
4,ENSG00000224189
5,ENSG00000259820
6,ENSG00000251136
7,ENSG00000250790
8,ENSG00000177640
9,ENSG00000258701
10,ENSG00000231764
11,ENSG00000226816
12,ENSG00000232677
13,ENSG00000231607
14,ENSG00000249859
15,ENSG00000234072
16,ENSG00000251562
17,ENSG00000235531
18,ENSG00000177822
19,ENSG00000247572
20,ENSG00000247828
21,ENSG00000189223
22,ENSG00000260244
23,ENSG00000225484
24,ENSG00000235954
25,ENSG00000260966
26,ENSG00000259976
27,ENSG00000212694
28,ENSG00000260032
29,ENSG00000204054
30,ENSG00000237187
31,ENSG00000261654
32,ENSG00000228794
33,ENSG00000179406
34,ENSG00000231312
35,ENSG00000259943
36,ENSG00000247556
37,ENSG00000250508
38,ENSG00000204860
39,ENSG00000203709
40,ENSG00000231064
41,ENSG00000223482
42,ENSG00000244879
43,ENSG00000230551
44,ENSG00000249592
45,ENSG00000256028
46,ENSG00000215424
47,ENSG00000261824
48,ENSG00000238113
49,ENSG00000258441
50,ENSG00000260034
51,ENSG00000185904
52,ENSG00000234456
