,lnc
0,ENSG00000257621
1,ENSG00000224086
2,ENSG00000259820
3,ENSG00000250790
4,ENSG00000231764
5,ENSG00000251562
6,ENSG00000235531
7,ENSG00000189223
8,ENSG00000225484
9,ENSG00000235954
10,ENSG00000260966
11,ENSG00000204054
12,ENSG00000261654
13,ENSG00000228794
14,ENSG00000179406
15,ENSG00000259943
16,ENSG00000247556
17,ENSG00000250508
18,ENSG00000203709
19,ENSG00000223482
20,ENSG00000244879
21,ENSG00000230551
22,ENSG00000215424
23,ENSG00000258441
24,ENSG00000260034
25,ENSG00000185904
26,ENSG00000234456
