,lnc
0,ENSG00000257621
1,ENSG00000225733
2,ENSG00000228223
3,ENSG00000268205
4,ENSG00000224086
5,ENSG00000249042
6,ENSG00000224189
7,ENSG00000253284
8,ENSG00000259820
9,ENSG00000251136
10,ENSG00000250790
11,ENSG00000249669
12,ENSG00000177640
13,ENSG00000274173
14,ENSG00000258701
15,ENSG00000231764
16,ENSG00000226816
17,ENSG00000232677
18,ENSG00000231607
19,ENSG00000242516
20,ENSG00000249859
21,ENSG00000234072
22,ENSG00000251562
23,ENSG00000235531
24,ENSG00000177822
25,ENSG00000247572
26,ENSG00000247828
27,ENSG00000196756
28,ENSG00000189223
29,ENSG00000260244
30,ENSG00000228624
31,ENSG00000225484
32,ENSG00000280383
33,ENSG00000235954
34,ENSG00000235770
35,ENSG00000260966
36,ENSG00000235437
37,ENSG00000259976
38,ENSG00000212694
39,ENSG00000260032
40,ENSG00000204054
41,ENSG00000253738
42,ENSG00000237187
43,ENSG00000261654
44,ENSG00000228794
45,ENSG00000179406
46,ENSG00000259953
47,ENSG00000231312
48,ENSG00000259943
49,ENSG00000247556
50,ENSG00000250508
51,ENSG00000204860
52,ENSG00000203709
53,ENSG00000231064
54,ENSG00000223482
55,ENSG00000228434
56,ENSG00000244879
57,ENSG00000230551
58,ENSG00000234899
59,ENSG00000249592
60,ENSG00000256028
61,ENSG00000215424
62,ENSG00000240498
63,ENSG00000261824
64,ENSG00000093100
65,ENSG00000235703
66,ENSG00000238113
67,ENSG00000232931
68,ENSG00000226688
69,ENSG00000258441
70,ENSG00000260034
71,ENSG00000185904
72,ENSG00000234456
