,lnc
153,ENSG00000215769
154,ENSG00000245080
155,ENSG00000259623
156,ENSG00000247828
157,ENSG00000269397
158,ENSG00000261067
159,ENSG00000215256
160,ENSG00000257167
161,ENSG00000261069
162,ENSG00000261269
163,ENSG00000253686
164,ENSG00000182912
165,ENSG00000250303
166,ENSG00000248265
167,ENSG00000248810
168,ENSG00000230061
169,ENSG00000230590
170,ENSG00000259994
171,ENSG00000177337
172,ENSG00000214900
173,ENSG00000260924
174,ENSG00000276672
175,ENSG00000243107
176,ENSG00000245750
177,ENSG00000251151
178,ENSG00000245648
179,ENSG00000196756
180,ENSG00000189223
181,ENSG00000245651
182,ENSG00000255458
183,ENSG00000232021
184,ENSG00000260244
185,ENSG00000177738
186,ENSG00000224713
187,ENSG00000236423
188,ENSG00000258811
189,ENSG00000255366
190,ENSG00000186019
191,ENSG00000228624
192,ENSG00000258498
193,ENSG00000236333
194,ENSG00000259673
195,ENSG00000226380
196,ENSG00000230615
197,ENSG00000226891
198,ENSG00000264772
199,ENSG00000225484
200,ENSG00000232104
201,ENSG00000228549
202,ENSG00000246339
203,ENSG00000280383
204,ENSG00000231770
205,ENSG00000254389
206,ENSG00000235954
207,ENSG00000235770
208,ENSG00000230487
209,ENSG00000260966
210,ENSG00000228203
211,ENSG00000235437
212,ENSG00000246223
213,ENSG00000260398
214,ENSG00000259976
215,ENSG00000212694
216,ENSG00000260032
217,ENSG00000261008
218,ENSG00000259370
219,ENSG00000259583
220,ENSG00000272097
221,ENSG00000248429
222,ENSG00000261126
223,ENSG00000205056
224,ENSG00000245904
225,ENSG00000261351
226,ENSG00000269821
227,ENSG00000241388
228,ENSG00000245017
229,ENSG00000249673
230,ENSG00000259498
231,ENSG00000272610
232,ENSG00000260572
233,ENSG00000204054
234,ENSG00000253738
235,ENSG00000246089
236,ENSG00000259642
237,ENSG00000229852
238,ENSG00000237187
239,ENSG00000241684
240,ENSG00000152931
241,ENSG00000223546
242,ENSG00000225434
243,ENSG00000236833
244,ENSG00000261654
245,ENSG00000247516
246,ENSG00000228794
247,ENSG00000229589
248,ENSG00000226180
249,ENSG00000225684
250,ENSG00000239569
251,ENSG00000261116
252,ENSG00000259495
253,ENSG00000258210
254,ENSG00000233030
255,ENSG00000215039
256,ENSG00000251023
257,ENSG00000273033
258,ENSG00000227066
259,ENSG00000256546
260,ENSG00000276248
261,ENSG00000235897
262,ENSG00000243155
263,ENSG00000179406
264,ENSG00000185065
265,ENSG00000261777
266,ENSG00000237188
267,ENSG00000246090
268,ENSG00000256116
269,ENSG00000259953
270,ENSG00000238164
271,ENSG00000231312
272,ENSG00000233593
273,ENSG00000157306
274,ENSG00000222041
275,ENSG00000180769
276,ENSG00000236008
277,ENSG00000255794
278,ENSG00000233016
279,ENSG00000250903
280,ENSG00000233901
281,ENSG00000247735
282,ENSG00000259943
283,ENSG00000247556
284,ENSG00000235823
285,ENSG00000253616
286,ENSG00000196696
287,ENSG00000260920
288,ENSG00000196951
289,ENSG00000246695
290,ENSG00000253552
291,ENSG00000254876
292,ENSG00000250508
293,ENSG00000256092
294,ENSG00000260630
295,ENSG00000260086
296,ENSG00000227403
297,ENSG00000236901
298,ENSG00000238198
299,ENSG00000261324
300,ENSG00000204860
301,ENSG00000203709
302,ENSG00000176593
303,ENSG00000259134
304,ENSG00000254936
305,ENSG00000196810
306,ENSG00000251637
307,ENSG00000263753
308,ENSG00000260461
309,ENSG00000239219
310,ENSG00000259768
311,ENSG00000197085
312,ENSG00000231064
313,ENSG00000280434
314,ENSG00000260604
315,ENSG00000240859
316,ENSG00000246477
317,ENSG00000233452
318,ENSG00000248858
319,ENSG00000213742
320,ENSG00000261326
321,ENSG00000187621
322,ENSG00000259810
323,ENSG00000206567
324,ENSG00000250802
325,ENSG00000163597
326,ENSG00000223482
327,ENSG00000228434
328,ENSG00000258168
329,ENSG00000233834
330,ENSG00000183250
331,ENSG00000242282
332,ENSG00000230461
333,ENSG00000273015
334,ENSG00000244879
335,ENSG00000229719
336,ENSG00000261087
337,ENSG00000251432
338,ENSG00000277476
339,ENSG00000223768
340,ENSG00000225470
341,ENSG00000174365
342,ENSG00000257279
343,ENSG00000267272
344,ENSG00000272505
345,ENSG00000214783
346,ENSG00000230551
347,ENSG00000258301
348,ENSG00000234899
349,ENSG00000188242
350,ENSG00000227733
351,ENSG00000258957
352,ENSG00000230724
353,ENSG00000204588
354,ENSG00000244300
355,ENSG00000245937
356,ENSG00000234869
357,ENSG00000249592
358,ENSG00000254815
359,ENSG00000215068
360,ENSG00000247137
361,ENSG00000256028
362,ENSG00000245552
363,ENSG00000259865
364,ENSG00000267106
365,ENSG00000215424
366,ENSG00000247809
367,ENSG00000237945
368,ENSG00000240498
369,ENSG00000248508
370,ENSG00000257337
371,ENSG00000253955
372,ENSG00000248690
373,ENSG00000227036
374,ENSG00000215386
375,ENSG00000203875
376,ENSG00000246273
377,ENSG00000250337
378,ENSG00000265485
379,ENSG00000231721
380,ENSG00000215417
381,ENSG00000230002
382,ENSG00000251364
383,ENSG00000183242
384,ENSG00000223749
385,ENSG00000258754
386,ENSG00000247373
387,ENSG00000233393
388,ENSG00000269918
389,ENSG00000237248
390,ENSG00000232973
391,ENSG00000244733
392,ENSG00000231889
393,ENSG00000278730
394,ENSG00000240990
395,ENSG00000248932
396,ENSG00000214922
397,ENSG00000261824
398,ENSG00000225670
399,ENSG00000273373
400,ENSG00000236144
401,ENSG00000261094
402,ENSG00000197182
403,ENSG00000260288
404,ENSG00000238133
405,ENSG00000247011
406,ENSG00000093100
407,ENSG00000224023
408,ENSG00000235560
409,ENSG00000235703
410,ENSG00000238113
411,ENSG00000237975
412,ENSG00000232956
413,ENSG00000260852
414,ENSG00000241158
415,ENSG00000214049
416,ENSG00000250033
417,ENSG00000223764
418,ENSG00000248441
419,ENSG00000234608
420,ENSG00000243004
421,ENSG00000237037
422,ENSG00000232855
423,ENSG00000234327
424,ENSG00000260423
425,ENSG00000236830
426,ENSG00000251381
427,ENSG00000233101
428,ENSG00000273759
429,ENSG00000232931
430,ENSG00000255389
431,ENSG00000250548
432,ENSG00000239911
433,ENSG00000251396
434,ENSG00000249307
435,ENSG00000260711
436,ENSG00000257176
437,ENSG00000246100
438,ENSG00000225431
439,ENSG00000227695
440,ENSG00000229116
441,ENSG00000245970
442,ENSG00000225411
443,ENSG00000250988
444,ENSG00000226688
445,ENSG00000259834
446,ENSG00000258441
447,ENSG00000255036
448,ENSG00000261188
449,ENSG00000236778
450,ENSG00000240875
451,ENSG00000251022
452,ENSG00000255082
453,ENSG00000260034
454,ENSG00000245694
455,ENSG00000258334
456,ENSG00000185904
457,ENSG00000214145
458,ENSG00000260400
459,ENSG00000234456
460,ENSG00000260686
461,ENSG00000231327
462,ENSG00000249898
463,ENSG00000253125
464,ENSG00000261553
465,ENSG00000206337
466,ENSG00000235724
467,ENSG00000228801
