"","pandri1","pandri2","pandri5","pandri7","pandri10"
"384","ENSG00000214783","ENSG00000228549",NA,NA,NA
"385","ENSG00000218416","ENSG00000229619",NA,NA,NA
"386","ENSG00000223764","ENSG00000230615",NA,NA,NA
"387","ENSG00000223768","ENSG00000234608",NA,NA,NA
"388","ENSG00000224023","ENSG00000236901",NA,NA,NA
"389","ENSG00000224165","ENSG00000241158",NA,NA,NA
"390","ENSG00000224713","ENSG00000245149",NA,NA,NA
"391","ENSG00000225792","ENSG00000247373",NA,NA,NA
"392","ENSG00000227066","ENSG00000250742",NA,NA,NA
"393","ENSG00000227733","ENSG00000255036",NA,NA,NA
"394","ENSG00000228630","ENSG00000257337",NA,NA,NA
"395","ENSG00000228801","ENSG00000259583",NA,NA,NA
"396","ENSG00000229587","ENSG00000093100",NA,NA,NA
"397","ENSG00000229589","ENSG00000196756",NA,NA,NA
"398","ENSG00000229719","ENSG00000226688",NA,NA,NA
"399","ENSG00000230061","ENSG00000228434",NA,NA,NA
"400","ENSG00000230091","ENSG00000228624",NA,NA,NA
"401","ENSG00000230461","ENSG00000232931",NA,NA,NA
"402","ENSG00000232021","ENSG00000234899",NA,NA,NA
"403","ENSG00000232104","ENSG00000235437",NA,NA,NA
"404","ENSG00000232973","ENSG00000235703",NA,NA,NA
"405","ENSG00000233006","ENSG00000235770",NA,NA,NA
"406","ENSG00000233393","ENSG00000240498",NA,NA,NA
"407","ENSG00000233593","ENSG00000242516",NA,NA,NA
"408","ENSG00000234684","ENSG00000249042",NA,NA,NA
"409","ENSG00000234869","ENSG00000249669",NA,NA,NA
"410","ENSG00000235560","ENSG00000253284",NA,NA,NA
"411","ENSG00000235831","ENSG00000253738",NA,NA,NA
"412","ENSG00000235897","ENSG00000259953",NA,NA,NA
"413","ENSG00000236333","ENSG00000268205",NA,NA,NA
"414","ENSG00000236830","ENSG00000274173",NA,NA,NA
"415","ENSG00000238133","ENSG00000280383",NA,NA,NA
"416","ENSG00000238266","ENSG00000177640",NA,NA,NA
"417","ENSG00000239569","ENSG00000204860",NA,NA,NA
"418","ENSG00000240875","ENSG00000212694",NA,NA,NA
"419","ENSG00000240990","ENSG00000224189",NA,NA,NA
"420","ENSG00000241388","ENSG00000225733",NA,NA,NA
"421","ENSG00000243004","ENSG00000226816",NA,NA,NA
"422","ENSG00000243155","ENSG00000231064",NA,NA,NA
"423","ENSG00000245017","ENSG00000231312",NA,NA,NA
"424","ENSG00000246090","ENSG00000231607",NA,NA,NA
"425","ENSG00000246695","ENSG00000247572",NA,NA,NA
"426","ENSG00000246792","ENSG00000247828",NA,NA,NA
"427","ENSG00000247137","ENSG00000249592",NA,NA,NA
"428","ENSG00000248265","ENSG00000256028",NA,NA,NA
"429","ENSG00000248671","ENSG00000258701",NA,NA,NA
"430","ENSG00000249464","ENSG00000259976",NA,NA,NA
"431","ENSG00000250033","ENSG00000260032",NA,NA,NA
"432","ENSG00000250548","ENSG00000177822",NA,NA,NA
"433","ENSG00000250899","ENSG00000228223",NA,NA,NA
"434","ENSG00000250903","ENSG00000232677",NA,NA,NA
"435","ENSG00000250988","ENSG00000234072",NA,NA,NA
"436","ENSG00000251151","ENSG00000237187",NA,NA,NA
"437","ENSG00000251381","ENSG00000238113",NA,NA,NA
"438","ENSG00000251396","ENSG00000249859",NA,NA,NA
"439","ENSG00000253125","ENSG00000251136",NA,NA,NA
"440","ENSG00000253955","ENSG00000260244",NA,NA,NA
"441","ENSG00000254936","ENSG00000261824",NA,NA,NA
"442","ENSG00000255345","ENSG00000179406",NA,NA,NA
"443","ENSG00000255366","ENSG00000185904",NA,NA,NA
"444","ENSG00000255545","ENSG00000189223",NA,NA,NA
"445","ENSG00000255737","ENSG00000223482",NA,NA,NA
"446","ENSG00000256092","ENSG00000225484",NA,NA,NA
"447","ENSG00000257279","ENSG00000230551",NA,NA,NA
"448","ENSG00000258593","ENSG00000231764",NA,NA,NA
"449","ENSG00000259134","ENSG00000235531",NA,NA,NA
"450","ENSG00000259345","ENSG00000250508",NA,NA,NA
"451","ENSG00000259810","ENSG00000250790",NA,NA,NA
"452","ENSG00000260086","ENSG00000259820",NA,NA,NA
"453","ENSG00000260288","ENSG00000260034",NA,NA,NA
"454","ENSG00000260423","ENSG00000224086",NA,NA,NA
"455","ENSG00000260461","ENSG00000235954",NA,NA,NA
"456","ENSG00000260604","ENSG00000244879",NA,NA,NA
"457","ENSG00000260711","ENSG00000257621",NA,NA,NA
"458","ENSG00000260912","ENSG00000258441",NA,NA,NA
"459","ENSG00000260920","ENSG00000259943",NA,NA,NA
"460","ENSG00000260924","ENSG00000260966",NA,NA,NA
"461","ENSG00000261069","ENSG00000203709",NA,NA,NA
"462","ENSG00000261226","ENSG00000204054",NA,NA,NA
"463","ENSG00000261324","ENSG00000215424",NA,NA,NA
"464","ENSG00000261553","ENSG00000228794",NA,NA,NA
"465","ENSG00000261668","ENSG00000234456",NA,NA,NA
"466","ENSG00000261801","ENSG00000247556",NA,NA,NA
"467","ENSG00000265485","ENSG00000251562",NA,NA,NA
"468","ENSG00000267272","ENSG00000261654",NA,NA,NA
"469","ENSG00000270681",NA,NA,NA,NA
"470","ENSG00000277476",NA,NA,NA,NA
"471","ENSG00000180769",NA,NA,NA,NA
"472","ENSG00000182912",NA,NA,NA,NA
"473","ENSG00000183242",NA,NA,NA,NA
"474","ENSG00000196696",NA,NA,NA,NA
"475","ENSG00000223546",NA,NA,NA,NA
"476","ENSG00000224032",NA,NA,NA,NA
"477","ENSG00000224699",NA,NA,NA,NA
"478","ENSG00000225470",NA,NA,NA,NA
"479","ENSG00000226891",NA,NA,NA,NA
"480","ENSG00000227036",NA,NA,NA,NA
"481","ENSG00000227110",NA,NA,NA,NA
"482","ENSG00000229807",NA,NA,NA,NA
"483","ENSG00000230002",NA,NA,NA,NA
"484","ENSG00000230590",NA,NA,NA,NA
"485","ENSG00000233834",NA,NA,NA,NA
"486","ENSG00000233901",NA,NA,NA,NA
"487","ENSG00000235823",NA,NA,NA,NA
"488","ENSG00000236423",NA,NA,NA,NA
"489","ENSG00000236833",NA,NA,NA,NA
"490","ENSG00000237188",NA,NA,NA,NA
"491","ENSG00000245468",NA,NA,NA,NA
"492","ENSG00000245970",NA,NA,NA,NA
"493","ENSG00000247809",NA,NA,NA,NA
"494","ENSG00000251259",NA,NA,NA,NA
"495","ENSG00000251432",NA,NA,NA,NA
"496","ENSG00000251637",NA,NA,NA,NA
"497","ENSG00000255389",NA,NA,NA,NA
"498","ENSG00000257027",NA,NA,NA,NA
"499","ENSG00000258168",NA,NA,NA,NA
"500","ENSG00000258210",NA,NA,NA,NA
"501","ENSG00000258498",NA,NA,NA,NA
"502","ENSG00000259370",NA,NA,NA,NA
"503","ENSG00000259623",NA,NA,NA,NA
"504","ENSG00000260400",NA,NA,NA,NA
"505","ENSG00000260630",NA,NA,NA,NA
"506","ENSG00000260804",NA,NA,NA,NA
"507","ENSG00000260918",NA,NA,NA,NA
"508","ENSG00000261008",NA,NA,NA,NA
"509","ENSG00000261351",NA,NA,NA,NA
"510","ENSG00000261618",NA,NA,NA,NA
"511","ENSG00000263753",NA,NA,NA,NA
"512","ENSG00000272983",NA,NA,NA,NA
"513","ENSG00000273033",NA,NA,NA,NA
"514","ENSG00000273759",NA,NA,NA,NA
"515","ENSG00000279738",NA,NA,NA,NA
"516","ENSG00000162888",NA,NA,NA,NA
"517","ENSG00000172965",NA,NA,NA,NA
"518","ENSG00000183250",NA,NA,NA,NA
"519","ENSG00000197182",NA,NA,NA,NA
"520","ENSG00000205056",NA,NA,NA,NA
"521","ENSG00000214900",NA,NA,NA,NA
"522","ENSG00000215068",NA,NA,NA,NA
"523","ENSG00000215769",NA,NA,NA,NA
"524","ENSG00000222041",NA,NA,NA,NA
"525","ENSG00000224511",NA,NA,NA,NA
"526","ENSG00000226380",NA,NA,NA,NA
"527","ENSG00000233008",NA,NA,NA,NA
"528","ENSG00000233723",NA,NA,NA,NA
"529","ENSG00000236008",NA,NA,NA,NA
"530","ENSG00000237037",NA,NA,NA,NA
"531","ENSG00000241472",NA,NA,NA,NA
"532","ENSG00000245060",NA,NA,NA,NA
"533","ENSG00000246089",NA,NA,NA,NA
"534","ENSG00000246273",NA,NA,NA,NA
"535","ENSG00000247516",NA,NA,NA,NA
"536","ENSG00000250303",NA,NA,NA,NA
"537","ENSG00000250337",NA,NA,NA,NA
"538","ENSG00000251364",NA,NA,NA,NA
"539","ENSG00000253616",NA,NA,NA,NA
"540","ENSG00000255240",NA,NA,NA,NA
"541","ENSG00000257298",NA,NA,NA,NA
"542","ENSG00000258334",NA,NA,NA,NA
"543","ENSG00000258754",NA,NA,NA,NA
"544","ENSG00000259673",NA,NA,NA,NA
"545","ENSG00000259772",NA,NA,NA,NA
"546","ENSG00000259834",NA,NA,NA,NA
"547","ENSG00000259865",NA,NA,NA,NA
"548","ENSG00000259959",NA,NA,NA,NA
"549","ENSG00000260398",NA,NA,NA,NA
"550","ENSG00000260528",NA,NA,NA,NA
"551","ENSG00000260572",NA,NA,NA,NA
"552","ENSG00000261098",NA,NA,NA,NA
"553","ENSG00000261116",NA,NA,NA,NA
"554","ENSG00000261126",NA,NA,NA,NA
"555","ENSG00000261326",NA,NA,NA,NA
"556","ENSG00000263731",NA,NA,NA,NA
"557","ENSG00000269918",NA,NA,NA,NA
"558","ENSG00000272097",NA,NA,NA,NA
"559","ENSG00000273015",NA,NA,NA,NA
"560","ENSG00000280434",NA,NA,NA,NA
"561","ENSG00000177738",NA,NA,NA,NA
"562","ENSG00000213742",NA,NA,NA,NA
"563","ENSG00000215256",NA,NA,NA,NA
"564","ENSG00000224397",NA,NA,NA,NA
"565","ENSG00000225431",NA,NA,NA,NA
"566","ENSG00000229852",NA,NA,NA,NA
"567","ENSG00000230606",NA,NA,NA,NA
"568","ENSG00000231574",NA,NA,NA,NA
"569","ENSG00000231721",NA,NA,NA,NA
"570","ENSG00000231889",NA,NA,NA,NA
"571","ENSG00000233452",NA,NA,NA,NA
"572","ENSG00000234028",NA,NA,NA,NA
"573","ENSG00000234492",NA,NA,NA,NA
"574","ENSG00000235724",NA,NA,NA,NA
"575","ENSG00000236144",NA,NA,NA,NA
"576","ENSG00000236778",NA,NA,NA,NA
"577","ENSG00000238164",NA,NA,NA,NA
"578","ENSG00000242282",NA,NA,NA,NA
"579","ENSG00000243107",NA,NA,NA,NA
"580","ENSG00000245532",NA,NA,NA,NA
"581","ENSG00000245648",NA,NA,NA,NA
"582","ENSG00000245694",NA,NA,NA,NA
"583","ENSG00000245937",NA,NA,NA,NA
"584","ENSG00000246223",NA,NA,NA,NA
"585","ENSG00000248596",NA,NA,NA,NA
"586","ENSG00000248810",NA,NA,NA,NA
"587","ENSG00000250802",NA,NA,NA,NA
"588","ENSG00000254389",NA,NA,NA,NA
"589","ENSG00000257379",NA,NA,NA,NA
"590","ENSG00000259248",NA,NA,NA,NA
"591","ENSG00000259495",NA,NA,NA,NA
"592","ENSG00000259974",NA,NA,NA,NA
"593","ENSG00000261094",NA,NA,NA,NA
"594","ENSG00000261269",NA,NA,NA,NA
"595","ENSG00000264772",NA,NA,NA,NA
"596","ENSG00000269397",NA,NA,NA,NA
"597","ENSG00000272267",NA,NA,NA,NA
"598","ENSG00000273142",NA,NA,NA,NA
"599","ENSG00000273301",NA,NA,NA,NA
"600","ENSG00000276672",NA,NA,NA,NA
"601","ENSG00000163597",NA,NA,NA,NA
"602","ENSG00000188242",NA,NA,NA,NA
"603","ENSG00000196810",NA,NA,NA,NA
"604","ENSG00000212978",NA,NA,NA,NA
"605","ENSG00000215386",NA,NA,NA,NA
"606","ENSG00000224116",NA,NA,NA,NA
"607","ENSG00000226200",NA,NA,NA,NA
"608","ENSG00000233016",NA,NA,NA,NA
"609","ENSG00000239219",NA,NA,NA,NA
"610","ENSG00000240859",NA,NA,NA,NA
"611","ENSG00000241684",NA,NA,NA,NA
"612","ENSG00000241860",NA,NA,NA,NA
"613","ENSG00000242125",NA,NA,NA,NA
"614","ENSG00000245750",NA,NA,NA,NA
"615","ENSG00000245904",NA,NA,NA,NA
"616","ENSG00000246339",NA,NA,NA,NA
"617","ENSG00000248092",NA,NA,NA,NA
"618","ENSG00000248323",NA,NA,NA,NA
"619","ENSG00000248429",NA,NA,NA,NA
"620","ENSG00000248858",NA,NA,NA,NA
"621","ENSG00000249673",NA,NA,NA,NA
"622","ENSG00000256546",NA,NA,NA,NA
"623","ENSG00000257167",NA,NA,NA,NA
"624","ENSG00000258301",NA,NA,NA,NA
"625","ENSG00000152931",NA,NA,NA,NA
"626","ENSG00000176593",NA,NA,NA,NA
"627","ENSG00000186019",NA,NA,NA,NA
"628","ENSG00000206567",NA,NA,NA,NA
"629","ENSG00000214049",NA,NA,NA,NA
"630","ENSG00000214145",NA,NA,NA,NA
"631","ENSG00000224660",NA,NA,NA,NA
"632","ENSG00000228315",NA,NA,NA,NA
"633","ENSG00000228549",NA,NA,NA,NA
"634","ENSG00000229619",NA,NA,NA,NA
"635","ENSG00000230615",NA,NA,NA,NA
"636","ENSG00000234608",NA,NA,NA,NA
"637","ENSG00000236901",NA,NA,NA,NA
"638","ENSG00000241158",NA,NA,NA,NA
"639","ENSG00000245149",NA,NA,NA,NA
"640","ENSG00000247373",NA,NA,NA,NA
"641","ENSG00000250742",NA,NA,NA,NA
"642","ENSG00000255036",NA,NA,NA,NA
"643","ENSG00000257337",NA,NA,NA,NA
"644","ENSG00000259583",NA,NA,NA,NA
"645","ENSG00000093100",NA,NA,NA,NA
"646","ENSG00000196756",NA,NA,NA,NA
"647","ENSG00000226688",NA,NA,NA,NA
"648","ENSG00000228434",NA,NA,NA,NA
"649","ENSG00000228624",NA,NA,NA,NA
"650","ENSG00000232931",NA,NA,NA,NA
"651","ENSG00000234899",NA,NA,NA,NA
"652","ENSG00000235437",NA,NA,NA,NA
"653","ENSG00000235703",NA,NA,NA,NA
"654","ENSG00000235770",NA,NA,NA,NA
"655","ENSG00000240498",NA,NA,NA,NA
"656","ENSG00000242516",NA,NA,NA,NA
"657","ENSG00000249042",NA,NA,NA,NA
"658","ENSG00000249669",NA,NA,NA,NA
"659","ENSG00000253284",NA,NA,NA,NA
"660","ENSG00000253738",NA,NA,NA,NA
"661","ENSG00000259953",NA,NA,NA,NA
"662","ENSG00000268205",NA,NA,NA,NA
"663","ENSG00000274173",NA,NA,NA,NA
"664","ENSG00000280383",NA,NA,NA,NA
"665","ENSG00000177640",NA,NA,NA,NA
"666","ENSG00000204860",NA,NA,NA,NA
"667","ENSG00000212694",NA,NA,NA,NA
"668","ENSG00000224189",NA,NA,NA,NA
"669","ENSG00000225733",NA,NA,NA,NA
"670","ENSG00000226816",NA,NA,NA,NA
"671","ENSG00000231064",NA,NA,NA,NA
"672","ENSG00000231312",NA,NA,NA,NA
"673","ENSG00000231607",NA,NA,NA,NA
"674","ENSG00000247572",NA,NA,NA,NA
"675","ENSG00000247828",NA,NA,NA,NA
"676","ENSG00000249592",NA,NA,NA,NA
"677","ENSG00000256028",NA,NA,NA,NA
"678","ENSG00000258701",NA,NA,NA,NA
"679","ENSG00000259976",NA,NA,NA,NA
"680","ENSG00000260032",NA,NA,NA,NA
"681","ENSG00000177822",NA,NA,NA,NA
"682","ENSG00000228223",NA,NA,NA,NA
"683","ENSG00000232677",NA,NA,NA,NA
"684","ENSG00000234072",NA,NA,NA,NA
"685","ENSG00000237187",NA,NA,NA,NA
"686","ENSG00000238113",NA,NA,NA,NA
"687","ENSG00000249859",NA,NA,NA,NA
"688","ENSG00000251136",NA,NA,NA,NA
"689","ENSG00000260244",NA,NA,NA,NA
"690","ENSG00000261824",NA,NA,NA,NA
"691","ENSG00000179406",NA,NA,NA,NA
"692","ENSG00000185904",NA,NA,NA,NA
"693","ENSG00000189223",NA,NA,NA,NA
"694","ENSG00000223482",NA,NA,NA,NA
"695","ENSG00000225484",NA,NA,NA,NA
"696","ENSG00000230551",NA,NA,NA,NA
"697","ENSG00000231764",NA,NA,NA,NA
"698","ENSG00000235531",NA,NA,NA,NA
"699","ENSG00000250508",NA,NA,NA,NA
"700","ENSG00000250790",NA,NA,NA,NA
"701","ENSG00000259820",NA,NA,NA,NA
"702","ENSG00000260034",NA,NA,NA,NA
"703","ENSG00000224086",NA,NA,NA,NA
"704","ENSG00000235954",NA,NA,NA,NA
"705","ENSG00000244879",NA,NA,NA,NA
"706","ENSG00000257621",NA,NA,NA,NA
"707","ENSG00000258441",NA,NA,NA,NA
"708","ENSG00000259943",NA,NA,NA,NA
"709","ENSG00000260966",NA,NA,NA,NA
"710","ENSG00000203709",NA,NA,NA,NA
"711","ENSG00000204054",NA,NA,NA,NA
"712","ENSG00000215424",NA,NA,NA,NA
"713","ENSG00000228794",NA,NA,NA,NA
"714","ENSG00000234456",NA,NA,NA,NA
"715","ENSG00000247556",NA,NA,NA,NA
"716","ENSG00000251562",NA,NA,NA,NA
"717","ENSG00000261654",NA,NA,NA,NA
