"","pandri1","pandri2","pandri5","pandri7","pandri10"
"67","ENSG00000229970","ENSG00000246477","ENSG00000245694","ENSG00000212694",NA
"68","ENSG00000229989","ENSG00000247011","ENSG00000245937","ENSG00000224189",NA
"69","ENSG00000230102","ENSG00000247317","ENSG00000246223","ENSG00000225733",NA
"70","ENSG00000230699","ENSG00000247735","ENSG00000248596","ENSG00000226816",NA
"71","ENSG00000231177","ENSG00000248309","ENSG00000248810","ENSG00000231064",NA
"72","ENSG00000231419","ENSG00000248441","ENSG00000250802","ENSG00000231312",NA
"73","ENSG00000231528","ENSG00000248508","ENSG00000254389","ENSG00000231607",NA
"74","ENSG00000231683","ENSG00000248690","ENSG00000257379","ENSG00000247572",NA
"75","ENSG00000231711","ENSG00000248932","ENSG00000259248","ENSG00000247828",NA
"76","ENSG00000232044","ENSG00000249201","ENSG00000259495","ENSG00000249592",NA
"77","ENSG00000232046","ENSG00000249307","ENSG00000259974","ENSG00000256028",NA
"78","ENSG00000232160","ENSG00000249816","ENSG00000261094","ENSG00000258701",NA
"79","ENSG00000232564","ENSG00000249898","ENSG00000261269","ENSG00000259976",NA
"80","ENSG00000232732","ENSG00000250208","ENSG00000264772","ENSG00000260032",NA
"81","ENSG00000233175","ENSG00000251022","ENSG00000269397","ENSG00000177822",NA
"82","ENSG00000233183","ENSG00000251023","ENSG00000272267","ENSG00000228223",NA
"83","ENSG00000233221","ENSG00000253552","ENSG00000273142","ENSG00000232677",NA
"84","ENSG00000233429","ENSG00000253686","ENSG00000273301","ENSG00000234072",NA
"85","ENSG00000233539","ENSG00000254635","ENSG00000276672","ENSG00000237187",NA
"86","ENSG00000233705","ENSG00000254815","ENSG00000163597","ENSG00000238113",NA
"87","ENSG00000233930","ENSG00000254876","ENSG00000188242","ENSG00000249859",NA
"88","ENSG00000233937","ENSG00000255082","ENSG00000196810","ENSG00000251136",NA
"89","ENSG00000234129","ENSG00000255458","ENSG00000212978","ENSG00000260244",NA
"90","ENSG00000234377","ENSG00000255794","ENSG00000215386","ENSG00000261824",NA
"91","ENSG00000234663","ENSG00000256116","ENSG00000224116","ENSG00000179406",NA
"92","ENSG00000234715","ENSG00000257176","ENSG00000226200","ENSG00000185904",NA
"93","ENSG00000234722","ENSG00000258811","ENSG00000233016","ENSG00000189223",NA
