"","non-drivers"
"1069","ENSG00000228692"
"1070","ENSG00000228697"
"1071","ENSG00000228703"
"1072","ENSG00000228708"
"1073","ENSG00000228718"
"1074","ENSG00000228719"
"1075","ENSG00000228734"
"1076","ENSG00000228735"
"1077","ENSG00000228739"
"1078","ENSG00000228740"
"1079","ENSG00000228742"
"1080","ENSG00000228748"
"1081","ENSG00000228750"
"1082","ENSG00000228777"
"1083","ENSG00000228779"
"1084","ENSG00000228784"
"1085","ENSG00000228786"
"1086","ENSG00000228791"
"1087","ENSG00000228799"
"1088","ENSG00000228809"
"1089","ENSG00000228817"
"1090","ENSG00000228824"
"1091","ENSG00000228830"
"1092","ENSG00000228835"
"1093","ENSG00000228839"
"1094","ENSG00000228842"
"1095","ENSG00000228843"
"1096","ENSG00000228852"
"1097","ENSG00000228857"
"1098","ENSG00000228862"
"1099","ENSG00000228863"
"1100","ENSG00000228876"
"1101","ENSG00000228878"
"1102","ENSG00000228888"
"1103","ENSG00000228906"
"1104","ENSG00000228909"
"1105","ENSG00000228917"
"1106","ENSG00000228918"
"1107","ENSG00000228925"
"1108","ENSG00000228933"
"1109","ENSG00000228939"
"1110","ENSG00000228959"
"1111","ENSG00000228971"
"1112","ENSG00000228980"
"1113","ENSG00000228999"
"1114","ENSG00000229005"
"1115","ENSG00000229011"
"1116","ENSG00000229012"
"1117","ENSG00000229017"
"1118","ENSG00000229019"
"1119","ENSG00000229021"
"1120","ENSG00000229042"
"1121","ENSG00000229043"
"1122","ENSG00000229044"
"1123","ENSG00000229047"
"1124","ENSG00000229051"
"1125","ENSG00000229056"
"1126","ENSG00000229066"
"1127","ENSG00000229081"
"1128","ENSG00000229105"
"1129","ENSG00000229111"
"1130","ENSG00000229122"
"1131","ENSG00000229127"
"1132","ENSG00000229140"
"1133","ENSG00000229152"
"1134","ENSG00000229153"
"1135","ENSG00000229154"
"1136","ENSG00000229155"
"1137","ENSG00000229167"
"1138","ENSG00000229175"
"1139","ENSG00000229178"
"1140","ENSG00000229191"
"1141","ENSG00000229192"
"1142","ENSG00000229205"
"1143","ENSG00000229229"
"1144","ENSG00000229240"
"1145","ENSG00000229242"
"1146","ENSG00000229243"
"1147","ENSG00000229246"
"1148","ENSG00000229249"
"1149","ENSG00000229258"
"1150","ENSG00000229261"
"1151","ENSG00000229267"
"1152","ENSG00000229271"
"1153","ENSG00000229274"
"1154","ENSG00000229276"
"1155","ENSG00000229278"
"1156","ENSG00000229294"
"1157","ENSG00000229297"
"1158","ENSG00000229308"
"1159","ENSG00000229313"
"1160","ENSG00000229315"
"1161","ENSG00000229321"
"1162","ENSG00000229334"
"1163","ENSG00000229348"
"1164","ENSG00000229372"
"1165","ENSG00000229373"
"1166","ENSG00000229385"
"1167","ENSG00000229400"
"1168","ENSG00000229401"
"1169","ENSG00000229407"
"1170","ENSG00000229414"
"1171","ENSG00000229418"
"1172","ENSG00000229425"
"1173","ENSG00000229433"
"1174","ENSG00000229443"
"1175","ENSG00000229454"
"1176","ENSG00000229457"
"1177","ENSG00000229463"
"1178","ENSG00000229491"
"1179","ENSG00000229494"
"1180","ENSG00000229495"
"1181","ENSG00000229498"
"1182","ENSG00000229520"
"1183","ENSG00000229521"
"1184","ENSG00000229525"
"1185","ENSG00000229537"
"1186","ENSG00000229539"
"1187","ENSG00000229543"
"1188","ENSG00000229558"
"1189","ENSG00000229563"
"1190","ENSG00000229565"
"1191","ENSG00000229569"
"1192","ENSG00000229578"
"1193","ENSG00000229607"
"1194","ENSG00000229609"
"1195","ENSG00000229613"
"1196","ENSG00000229618"
"1197","ENSG00000229621"
"1198","ENSG00000229642"
"1199","ENSG00000229649"
"1200","ENSG00000229656"
"1201","ENSG00000229666"
"1202","ENSG00000229679"
"1203","ENSG00000229688"
"1204","ENSG00000229692"
"1205","ENSG00000229694"
"1206","ENSG00000229697"
"1207","ENSG00000229699"
"1208","ENSG00000229717"
"1209","ENSG00000229723"
"1210","ENSG00000229727"
"1211","ENSG00000229728"
"1212","ENSG00000229743"
"1213","ENSG00000229750"
"1214","ENSG00000229751"
"1215","ENSG00000229766"
"1216","ENSG00000229771"
"1217","ENSG00000229774"
"1218","ENSG00000229775"
"1219","ENSG00000229776"
"1220","ENSG00000229788"
"1221","ENSG00000229791"
"1222","ENSG00000229805"
"1223","ENSG00000229821"
"1224","ENSG00000229846"
"1225","ENSG00000229847"
"1226","ENSG00000229855"
"1227","ENSG00000229867"
"1228","ENSG00000229876"
"1229","ENSG00000229891"
"1230","ENSG00000229896"
"1231","ENSG00000229905"
"1232","ENSG00000229913"
"1233","ENSG00000229921"
"1234","ENSG00000229922"
"1235","ENSG00000229928"
"1236","ENSG00000229938"
"1237","ENSG00000229941"
"1238","ENSG00000229950"
"1239","ENSG00000229951"
"1240","ENSG00000229955"
"1241","ENSG00000229956"
"1242","ENSG00000229957"
"1243","ENSG00000229962"
"1244","ENSG00000229967"
"1245","ENSG00000229976"
"1246","ENSG00000229980"
"1247","ENSG00000229981"
"1248","ENSG00000229986"
"1249","ENSG00000229999"
"1250","ENSG00000230000"
"1251","ENSG00000230001"
"1252","ENSG00000230005"
"1253","ENSG00000230010"
"1254","ENSG00000230015"
"1255","ENSG00000230020"
"1256","ENSG00000230023"
"1257","ENSG00000230027"
"1258","ENSG00000230030"
"1259","ENSG00000230033"
"1260","ENSG00000230046"
"1261","ENSG00000230063"
"1262","ENSG00000230065"
"1263","ENSG00000230074"
"1264","ENSG00000230090"
"1265","ENSG00000230098"
"1266","ENSG00000230100"
"1267","ENSG00000230105"
"1268","ENSG00000230120"
"1269","ENSG00000230133"
"1270","ENSG00000230138"
"1271","ENSG00000230148"
"1272","ENSG00000230155"
"1273","ENSG00000230156"
"1274","ENSG00000230159"
"1275","ENSG00000230163"
"1276","ENSG00000230172"
"1277","ENSG00000230173"
"1278","ENSG00000230174"
"1279","ENSG00000230185"
"1280","ENSG00000230190"
"1281","ENSG00000230197"
"1282","ENSG00000230223"
"1283","ENSG00000230233"
"1284","ENSG00000230257"
"1285","ENSG00000230262"
"1286","ENSG00000230266"
"1287","ENSG00000230292"
"1288","ENSG00000230294"
"1289","ENSG00000230298"
"1290","ENSG00000230300"
"1291","ENSG00000230303"
"1292","ENSG00000230313"
"1293","ENSG00000230314"
"1294","ENSG00000230316"
"1295","ENSG00000230317"
"1296","ENSG00000230319"
"1297","ENSG00000230333"
"1298","ENSG00000230366"
"1299","ENSG00000230368"
"1300","ENSG00000230385"
"1301","ENSG00000230387"
"1302","ENSG00000230392"
"1303","ENSG00000230393"
"1304","ENSG00000230400"
"1305","ENSG00000230402"
"1306","ENSG00000230417"
"1307","ENSG00000230426"
"1308","ENSG00000230427"
"1309","ENSG00000230433"
"1310","ENSG00000230438"
"1311","ENSG00000230440"
"1312","ENSG00000230442"
"1313","ENSG00000230448"
"1314","ENSG00000230454"
"1315","ENSG00000230470"
"1316","ENSG00000230472"
"1317","ENSG00000230490"
"1318","ENSG00000230506"
"1319","ENSG00000230515"
"1320","ENSG00000230516"
"1321","ENSG00000230523"
"1322","ENSG00000230525"
"1323","ENSG00000230530"
"1324","ENSG00000230532"
"1325","ENSG00000230534"
"1326","ENSG00000230536"
"1327","ENSG00000230542"
"1328","ENSG00000230550"
"1329","ENSG00000230552"
"1330","ENSG00000230563"
"1331","ENSG00000230565"
"1332","ENSG00000230569"
"1333","ENSG00000230575"
"1334","ENSG00000230600"
"1335","ENSG00000230628"
"1336","ENSG00000230630"
"1337","ENSG00000230631"
"1338","ENSG00000230647"
"1339","ENSG00000230651"
"1340","ENSG00000230658"
"1341","ENSG00000230663"
"1342","ENSG00000230676"
"1343","ENSG00000230686"
"1344","ENSG00000230696"
"1345","ENSG00000230709"
"1346","ENSG00000230710"
"1347","ENSG00000230725"
"1348","ENSG00000230728"
"1349","ENSG00000230729"
"1350","ENSG00000230731"
"1351","ENSG00000230732"
"1352","ENSG00000230733"
"1353","ENSG00000230735"
"1354","ENSG00000230736"
"1355","ENSG00000230746"
"1356","ENSG00000230749"
"1357","ENSG00000230753"
"1358","ENSG00000230759"
"1359","ENSG00000230768"
"1360","ENSG00000230773"
"1361","ENSG00000230782"
"1362","ENSG00000230790"
"1363","ENSG00000230805"
"1364","ENSG00000230806"
"1365","ENSG00000230817"
"1366","ENSG00000230826"
"1367","ENSG00000230830"
"1368","ENSG00000230836"
"1369","ENSG00000230838"
"1370","ENSG00000230843"
"1371","ENSG00000230844"
"1372","ENSG00000230846"
"1373","ENSG00000230876"
"1374","ENSG00000230894"
"1375","ENSG00000230898"
"1376","ENSG00000230899"
"1377","ENSG00000230908"
"1378","ENSG00000230910"
"1379","ENSG00000230918"
"1380","ENSG00000230922"
"1381","ENSG00000230923"
"1382","ENSG00000230928"
"1383","ENSG00000230937"
"1384","ENSG00000230944"
"1385","ENSG00000230952"
"1386","ENSG00000230955"
"1387","ENSG00000230962"
"1388","ENSG00000230967"
"1389","ENSG00000230968"
"1390","ENSG00000230975"
"1391","ENSG00000230990"
"1392","ENSG00000231015"
"1393","ENSG00000231023"
"1394","ENSG00000231028"
"1395","ENSG00000231031"
"1396","ENSG00000231039"
"1397","ENSG00000231050"
"1398","ENSG00000231052"
"1399","ENSG00000231057"
"1400","ENSG00000231061"
"1401","ENSG00000231079"
"1402","ENSG00000231080"
"1403","ENSG00000231081"
"1404","ENSG00000231082"
"1405","ENSG00000231083"
"1406","ENSG00000231090"
"1407","ENSG00000231098"
"1408","ENSG00000231104"
"1409","ENSG00000231105"
"1410","ENSG00000231106"
"1411","ENSG00000231107"
"1412","ENSG00000231113"
"1413","ENSG00000231114"
"1414","ENSG00000231119"
"1415","ENSG00000231125"
"1416","ENSG00000231131"
"1417","ENSG00000231132"
"1418","ENSG00000231134"
"1419","ENSG00000231138"
"1420","ENSG00000231140"
"1421","ENSG00000231154"
"1422","ENSG00000231160"
"1423","ENSG00000231163"
"1424","ENSG00000231170"
"1425","ENSG00000231171"
"1426","ENSG00000231172"
"1427","ENSG00000231175"
"1428","ENSG00000231183"
"1429","ENSG00000231204"
"1430","ENSG00000231208"
"1431","ENSG00000231212"
"1432","ENSG00000231216"
"1433","ENSG00000231227"
"1434","ENSG00000231231"
"1435","ENSG00000231233"
"1436","ENSG00000231236"
"1437","ENSG00000231238"
"1438","ENSG00000231248"
"1439","ENSG00000231249"
"1440","ENSG00000231252"
"1441","ENSG00000231266"
"1442","ENSG00000231290"
"1443","ENSG00000231291"
"1444","ENSG00000231297"
"1445","ENSG00000231304"
"1446","ENSG00000231305"
"1447","ENSG00000231329"
"1448","ENSG00000231334"
"1449","ENSG00000231346"
"1450","ENSG00000231355"
"1451","ENSG00000231358"
"1452","ENSG00000231364"
"1453","ENSG00000231365"
"1454","ENSG00000231367"
"1455","ENSG00000231373"
"1456","ENSG00000231393"
"1457","ENSG00000231394"
"1458","ENSG00000231401"
"1459","ENSG00000231407"
"1460","ENSG00000231421"
"1461","ENSG00000231422"
"1462","ENSG00000231424"
"1463","ENSG00000231426"
"1464","ENSG00000231427"
"1465","ENSG00000231437"
"1466","ENSG00000231447"
"1467","ENSG00000231453"
"1468","ENSG00000231460"
"1469","ENSG00000231473"
"1470","ENSG00000231482"
"1471","ENSG00000231487"
"1472","ENSG00000231492"
"1473","ENSG00000231515"
"1474","ENSG00000231527"
"1475","ENSG00000231532"
"1476","ENSG00000231534"
"1477","ENSG00000231535"
"1478","ENSG00000231538"
"1479","ENSG00000231539"
"1480","ENSG00000231557"
"1481","ENSG00000231560"
"1482","ENSG00000231563"
"1483","ENSG00000231575"
"1484","ENSG00000231585"
"1485","ENSG00000231597"
"1486","ENSG00000231609"
"1487","ENSG00000231613"
"1488","ENSG00000231630"
"1489","ENSG00000231638"
"1490","ENSG00000231646"
"1491","ENSG00000231648"
"1492","ENSG00000231652"
"1493","ENSG00000231671"
"1494","ENSG00000231674"
"1495","ENSG00000231680"
"1496","ENSG00000231681"
"1497","ENSG00000231682"
"1498","ENSG00000231689"
"1499","ENSG00000231690"
"1500","ENSG00000231691"
"1501","ENSG00000231698"
"1502","ENSG00000231703"
"1503","ENSG00000231713"
"1504","ENSG00000231714"
"1505","ENSG00000231718"
"1506","ENSG00000231724"
"1507","ENSG00000231728"
"1508","ENSG00000231731"
"1509","ENSG00000231742"
"1510","ENSG00000231749"
"1511","ENSG00000231754"
"1512","ENSG00000231755"
"1513","ENSG00000231760"
"1514","ENSG00000231768"
"1515","ENSG00000231772"
"1516","ENSG00000231782"
"1517","ENSG00000231794"
"1518","ENSG00000231806"
"1519","ENSG00000231814"
"1520","ENSG00000231817"
"1521","ENSG00000231826"
"1522","ENSG00000231829"
"1523","ENSG00000231830"
"1524","ENSG00000231840"
"1525","ENSG00000231856"
"1526","ENSG00000231863"
"1527","ENSG00000231871"
"1528","ENSG00000231876"
"1529","ENSG00000231877"
"1530","ENSG00000231881"
"1531","ENSG00000231882"
"1532","ENSG00000231883"
"1533","ENSG00000231890"
"1534","ENSG00000231901"
"1535","ENSG00000231918"
"1536","ENSG00000231927"
"1537","ENSG00000231933"
"1538","ENSG00000231934"
"1539","ENSG00000231937"
"1540","ENSG00000231943"
"1541","ENSG00000231944"
"1542","ENSG00000231948"
"1543","ENSG00000231949"
"1544","ENSG00000231951"
"1545","ENSG00000231953"
"1546","ENSG00000231955"
"1547","ENSG00000231963"
"1548","ENSG00000231971"
"1549","ENSG00000231980"
"1550","ENSG00000231987"
"1551","ENSG00000232001"
"1552","ENSG00000232006"
"1553","ENSG00000232019"
"1554","ENSG00000232023"
"1555","ENSG00000232028"
"1556","ENSG00000232043"
"1557","ENSG00000232057"
"1558","ENSG00000232058"
"1559","ENSG00000232063"
"1560","ENSG00000232073"
"1561","ENSG00000232079"
"1562","ENSG00000232080"
"1563","ENSG00000232084"
"1564","ENSG00000232085"
"1565","ENSG00000232093"
"1566","ENSG00000232117"
"1567","ENSG00000232120"
"1568","ENSG00000232124"
"1569","ENSG00000232162"
"1570","ENSG00000232164"
"1571","ENSG00000232188"
"1572","ENSG00000232190"
"1573","ENSG00000232193"
"1574","ENSG00000232194"
"1575","ENSG00000232227"
"1576","ENSG00000232229"
"1577","ENSG00000232233"
"1578","ENSG00000232259"
"1579","ENSG00000232265"
"1580","ENSG00000232283"
"1581","ENSG00000232294"
"1582","ENSG00000232295"
"1583","ENSG00000232299"
"1584","ENSG00000232300"
"1585","ENSG00000232301"
"1586","ENSG00000232307"
"1587","ENSG00000232310"
"1588","ENSG00000232325"
"1589","ENSG00000232328"
"1590","ENSG00000232335"
"1591","ENSG00000232342"
"1592","ENSG00000232347"
"1593","ENSG00000232353"
"1594","ENSG00000232354"
"1595","ENSG00000232363"
"1596","ENSG00000232386"
"1597","ENSG00000232395"
"1598","ENSG00000232401"
"1599","ENSG00000232406"
"1600","ENSG00000232416"
"1601","ENSG00000232445"
"1602","ENSG00000232451"
"1603","ENSG00000232453"
"1604","ENSG00000232455"
"1605","ENSG00000232458"
"1606","ENSG00000232465"
"1607","ENSG00000232474"
"1608","ENSG00000232490"
"1609","ENSG00000232494"
"1610","ENSG00000232500"
"1611","ENSG00000232504"
"1612","ENSG00000232520"
"1613","ENSG00000232536"
"1614","ENSG00000232539"
"1615","ENSG00000232545"
"1616","ENSG00000232560"
"1617","ENSG00000232586"
"1618","ENSG00000232590"
"1619","ENSG00000232597"
"1620","ENSG00000232606"
"1621","ENSG00000232611"
"1622","ENSG00000232613"
"1623","ENSG00000232618"
"1624","ENSG00000232624"
"1625","ENSG00000232628"
"1626","ENSG00000232633"
"1627","ENSG00000232642"
"1628","ENSG00000232655"
"1629","ENSG00000232667"
"1630","ENSG00000232671"
"1631","ENSG00000232682"
"1632","ENSG00000232685"
"1633","ENSG00000232688"
"1634","ENSG00000232692"
"1635","ENSG00000232693"
"1636","ENSG00000232710"
"1637","ENSG00000232712"
"1638","ENSG00000232719"
"1639","ENSG00000232721"
"1640","ENSG00000232729"
"1641","ENSG00000232739"
"1642","ENSG00000232746"
"1643","ENSG00000232748"
"1644","ENSG00000232756"
"1645","ENSG00000232759"
"1646","ENSG00000232762"
"1647","ENSG00000232774"
"1648","ENSG00000232788"
"1649","ENSG00000232807"
"1650","ENSG00000232808"
"1651","ENSG00000232811"
"1652","ENSG00000232817"
"1653","ENSG00000232821"
"1654","ENSG00000232825"
"1655","ENSG00000232827"
"1656","ENSG00000232832"
"1657","ENSG00000232837"
"1658","ENSG00000232860"
"1659","ENSG00000232884"
"1660","ENSG00000232885"
"1661","ENSG00000232892"
"1662","ENSG00000232896"
"1663","ENSG00000232900"
"1664","ENSG00000232903"
"1665","ENSG00000232907"
"1666","ENSG00000232909"
"1667","ENSG00000232912"
"1668","ENSG00000232913"
"1669","ENSG00000232920"
"1670","ENSG00000232930"
"1671","ENSG00000232934"
"1672","ENSG00000232935"
"1673","ENSG00000232936"
"1674","ENSG00000232940"
"1675","ENSG00000232949"
"1676","ENSG00000232977"
"1677","ENSG00000232987"
"1678","ENSG00000232991"
"1679","ENSG00000232995"
"1680","ENSG00000232998"
"1681","ENSG00000233002"
"1682","ENSG00000233005"
"1683","ENSG00000233009"
"1684","ENSG00000233017"
"1685","ENSG00000233033"
"1686","ENSG00000233038"
"1687","ENSG00000233044"
"1688","ENSG00000233047"
"1689","ENSG00000233048"
"1690","ENSG00000233058"
"1691","ENSG00000233060"
"1692","ENSG00000233061"
"1693","ENSG00000233067"
"1694","ENSG00000233070"
"1695","ENSG00000233077"
"1696","ENSG00000233079"
"1697","ENSG00000233085"
"1698","ENSG00000233086"
"1699","ENSG00000233103"
"1700","ENSG00000233110"
"1701","ENSG00000233117"
"1702","ENSG00000233123"
"1703","ENSG00000233124"
"1704","ENSG00000233145"
"1705","ENSG00000233154"
"1706","ENSG00000233178"
"1707","ENSG00000233200"
"1708","ENSG00000233208"
"1709","ENSG00000233214"
"1710","ENSG00000233222"
"1711","ENSG00000233230"
"1712","ENSG00000233234"
"1713","ENSG00000233236"
"1714","ENSG00000233237"
"1715","ENSG00000233242"
"1716","ENSG00000233251"
"1717","ENSG00000233288"
"1718","ENSG00000233290"
"1719","ENSG00000233293"
"1720","ENSG00000233296"
"1721","ENSG00000233304"
"1722","ENSG00000233316"
"1723","ENSG00000233332"
"1724","ENSG00000233334"
"1725","ENSG00000233338"
"1726","ENSG00000233349"
"1727","ENSG00000233351"
"1728","ENSG00000233355"
"1729","ENSG00000233358"
"1730","ENSG00000233360"
"1731","ENSG00000233363"
"1732","ENSG00000233365"
"1733","ENSG00000233372"
"1734","ENSG00000233379"
"1735","ENSG00000233392"
"1736","ENSG00000233395"
"1737","ENSG00000233397"
"1738","ENSG00000233399"
"1739","ENSG00000233410"
"1740","ENSG00000233421"
"1741","ENSG00000233451"
"1742","ENSG00000233470"
"1743","ENSG00000233478"
"1744","ENSG00000233485"
"1745","ENSG00000233492"
"1746","ENSG00000233508"
"1747","ENSG00000233515"
"1748","ENSG00000233516"
"1749","ENSG00000233517"
"1750","ENSG00000233521"
"1751","ENSG00000233522"
"1752","ENSG00000233527"
"1753","ENSG00000233528"
"1754","ENSG00000233532"
"1755","ENSG00000233534"
"1756","ENSG00000233536"
"1757","ENSG00000233542"
"1758","ENSG00000233547"
"1759","ENSG00000233553"
"1760","ENSG00000233559"
"1761","ENSG00000233569"
"1762","ENSG00000233570"
"1763","ENSG00000233589"
"1764","ENSG00000233602"
"1765","ENSG00000233605"
"1766","ENSG00000233610"
"1767","ENSG00000233627"
"1768","ENSG00000233633"
"1769","ENSG00000233639"
"1770","ENSG00000233642"
"1771","ENSG00000233645"
"1772","ENSG00000233651"
"1773","ENSG00000233672"
"1774","ENSG00000233682"
"1775","ENSG00000233684"
"1776","ENSG00000233693"
"1777","ENSG00000233694"
"1778","ENSG00000233695"
"1779","ENSG00000233718"
"1780","ENSG00000233721"
"1781","ENSG00000233725"
"1782","ENSG00000233735"
"1783","ENSG00000233746"
"1784","ENSG00000233754"
"1785","ENSG00000233755"
"1786","ENSG00000233756"
"1787","ENSG00000233760"
"1788","ENSG00000233766"
"1789","ENSG00000233775"
"1790","ENSG00000233783"
"1791","ENSG00000233791"
"1792","ENSG00000233806"
"1793","ENSG00000233817"
"1794","ENSG00000233818"
"1795","ENSG00000233821"
"1796","ENSG00000233823"
"1797","ENSG00000233828"
"1798","ENSG00000233842"
"1799","ENSG00000233850"
"1800","ENSG00000233858"
"1801","ENSG00000233862"
"1802","ENSG00000233871"
"1803","ENSG00000233885"
"1804","ENSG00000233891"
"1805","ENSG00000233896"
"1806","ENSG00000233907"
"1807","ENSG00000233919"
"1808","ENSG00000233922"
"1809","ENSG00000233926"
"1810","ENSG00000233941"
"1811","ENSG00000233942"
"1812","ENSG00000233960"
"1813","ENSG00000233967"
"1814","ENSG00000233968"
"1815","ENSG00000233970"
"1816","ENSG00000233973"
"1817","ENSG00000233977"
"1818","ENSG00000233993"
"1819","ENSG00000234015"
"1820","ENSG00000234022"
"1821","ENSG00000234026"
"1822","ENSG00000234034"
"1823","ENSG00000234056"
"1824","ENSG00000234089"
"1825","ENSG00000234104"
"1826","ENSG00000234111"
"1827","ENSG00000234117"
"1828","ENSG00000234141"
"1829","ENSG00000234155"
"1830","ENSG00000234156"
"1831","ENSG00000234160"
"1832","ENSG00000234162"
"1833","ENSG00000234166"
"1834","ENSG00000234173"
"1835","ENSG00000234174"
"1836","ENSG00000234177"
"1837","ENSG00000234191"
"1838","ENSG00000234193"
"1839","ENSG00000234197"
"1840","ENSG00000234210"
"1841","ENSG00000234225"
"1842","ENSG00000234230"
"1843","ENSG00000234233"
"1844","ENSG00000234244"
"1845","ENSG00000234255"
"1846","ENSG00000234264"
"1847","ENSG00000234265"
"1848","ENSG00000234277"
"1849","ENSG00000234281"
"1850","ENSG00000234292"
"1851","ENSG00000234293"
"1852","ENSG00000234296"
"1853","ENSG00000234300"
"1854","ENSG00000234306"
"1855","ENSG00000234308"
"1856","ENSG00000234311"
"1857","ENSG00000234323"
"1858","ENSG00000234336"
"1859","ENSG00000234350"
"1860","ENSG00000234352"
"1861","ENSG00000234361"
"1862","ENSG00000234380"
"1863","ENSG00000234387"
"1864","ENSG00000234389"
"1865","ENSG00000234390"
"1866","ENSG00000234394"
"1867","ENSG00000234423"
"1868","ENSG00000234425"
"1869","ENSG00000234428"
"1870","ENSG00000234432"
"1871","ENSG00000234445"
"1872","ENSG00000234455"
"1873","ENSG00000234471"
"1874","ENSG00000234474"
"1875","ENSG00000234476"
"1876","ENSG00000234494"
"1877","ENSG00000234497"
"1878","ENSG00000234503"
"1879","ENSG00000234504"
"1880","ENSG00000234506"
"1881","ENSG00000234520"
"1882","ENSG00000234527"
"1883","ENSG00000234535"
"1884","ENSG00000234546"
"1885","ENSG00000234548"
"1886","ENSG00000234556"
"1887","ENSG00000234572"
"1888","ENSG00000234578"
"1889","ENSG00000234579"
"1890","ENSG00000234580"
"1891","ENSG00000234593"
"1892","ENSG00000234595"
"1893","ENSG00000234597"
"1894","ENSG00000234601"
"1895","ENSG00000234613"
"1896","ENSG00000234636"
"1897","ENSG00000234646"
"1898","ENSG00000234647"
"1899","ENSG00000234653"
"1900","ENSG00000234660"
"1901","ENSG00000234661"
"1902","ENSG00000234665"
"1903","ENSG00000234677"
"1904","ENSG00000234678"
"1905","ENSG00000234686"
"1906","ENSG00000234690"
"1907","ENSG00000234693"
"1908","ENSG00000234717"
"1909","ENSG00000234721"
"1910","ENSG00000234736"
"1911","ENSG00000234754"
"1912","ENSG00000234756"
"1913","ENSG00000234763"
"1914","ENSG00000234767"
"1915","ENSG00000234768"
"1916","ENSG00000234771"
"1917","ENSG00000234781"
"1918","ENSG00000234791"
"1919","ENSG00000234793"
"1920","ENSG00000234796"
"1921","ENSG00000234807"
"1922","ENSG00000234810"
"1923","ENSG00000234817"
"1924","ENSG00000234826"
"1925","ENSG00000234840"
"1926","ENSG00000234848"
"1927","ENSG00000234859"
"1928","ENSG00000234862"
"1929","ENSG00000234864"
"1930","ENSG00000234880"
"1931","ENSG00000234883"
"1932","ENSG00000234900"
"1933","ENSG00000234902"
"1934","ENSG00000234913"
"1935","ENSG00000234915"
"1936","ENSG00000234917"
"1937","ENSG00000234918"
"1938","ENSG00000234919"
"1939","ENSG00000234928"
"1940","ENSG00000234940"
"1941","ENSG00000234944"
"1942","ENSG00000234945"
"1943","ENSG00000234948"
"1944","ENSG00000234949"
"1945","ENSG00000234953"
"1946","ENSG00000234961"
"1947","ENSG00000234962"
"1948","ENSG00000234973"
"1949","ENSG00000234977"
"1950","ENSG00000234986"
"1951","ENSG00000234997"
"1952","ENSG00000235016"
"1953","ENSG00000235020"
"1954","ENSG00000235023"
"1955","ENSG00000235024"
"1956","ENSG00000235027"
"1957","ENSG00000235033"
"1958","ENSG00000235049"
"1959","ENSG00000235050"
"1960","ENSG00000235054"
"1961","ENSG00000235056"
"1962","ENSG00000235059"
"1963","ENSG00000235066"
"1964","ENSG00000235070"
"1965","ENSG00000235072"
"1966","ENSG00000235092"
"1967","ENSG00000235097"
"1968","ENSG00000235099"
"1969","ENSG00000235100"
"1970","ENSG00000235120"
"1971","ENSG00000235121"
"1972","ENSG00000235123"
"1973","ENSG00000235138"
"1974","ENSG00000235140"
"1975","ENSG00000235142"
"1976","ENSG00000235143"
"1977","ENSG00000235146"
"1978","ENSG00000235151"
"1979","ENSG00000235154"
"1980","ENSG00000235158"
"1981","ENSG00000235159"
"1982","ENSG00000235180"
"1983","ENSG00000235189"
"1984","ENSG00000235192"
"1985","ENSG00000235200"
"1986","ENSG00000235204"
"1987","ENSG00000235209"
"1988","ENSG00000235214"
"1989","ENSG00000235221"
"1990","ENSG00000235262"
"1991","ENSG00000235281"
"1992","ENSG00000235292"
"1993","ENSG00000235293"
"1994","ENSG00000235295"
"1995","ENSG00000235300"
"1996","ENSG00000235303"
"1997","ENSG00000235304"
"1998","ENSG00000235314"
"1999","ENSG00000235335"
"2000","ENSG00000235343"
"2001","ENSG00000235357"
"2002","ENSG00000235366"
"2003","ENSG00000235389"
"2004","ENSG00000235397"
"2005","ENSG00000235407"
"2006","ENSG00000235412"
"2007","ENSG00000235419"
"2008","ENSG00000235448"
"2009","ENSG00000235455"
"2010","ENSG00000235461"
"2011","ENSG00000235478"
"2012","ENSG00000235483"
"2013","ENSG00000235491"
"2014","ENSG00000235492"
"2015","ENSG00000235494"
"2016","ENSG00000235497"
"2017","ENSG00000235501"
"2018","ENSG00000235519"
"2019","ENSG00000235522"
"2020","ENSG00000235523"
"2021","ENSG00000235526"
"2022","ENSG00000235532"
"2023","ENSG00000235535"
"2024","ENSG00000235538"
"2025","ENSG00000235545"
"2026","ENSG00000235563"
"2027","ENSG00000235564"
"2028","ENSG00000235578"
"2029","ENSG00000235584"
"2030","ENSG00000235597"
"2031","ENSG00000235601"
"2032","ENSG00000235612"
"2033","ENSG00000235615"
"2034","ENSG00000235620"
"2035","ENSG00000235621"
"2036","ENSG00000235641"
"2037","ENSG00000235643"
"2038","ENSG00000235652"
"2039","ENSG00000235659"
"2040","ENSG00000235665"
"2041","ENSG00000235669"
"2042","ENSG00000235706"
"2043","ENSG00000235710"
"2044","ENSG00000235717"
"2045","ENSG00000235725"
"2046","ENSG00000235726"
"2047","ENSG00000235728"
"2048","ENSG00000235731"
"2049","ENSG00000235740"
"2050","ENSG00000235741"
"2051","ENSG00000235749"
"2052","ENSG00000235774"
"2053","ENSG00000235777"
"2054","ENSG00000235781"
"2055","ENSG00000235782"
"2056","ENSG00000235786"
"2057","ENSG00000235806"
"2058","ENSG00000235813"
"2059","ENSG00000235824"
"2060","ENSG00000235834"
"2061","ENSG00000235843"
"2062","ENSG00000235848"
"2063","ENSG00000235852"
"2064","ENSG00000235862"
"2065","ENSG00000235865"
"2066","ENSG00000235872"
"2067","ENSG00000235875"
