"","non-drivers"
"246","ENSG00000205791"
"247","ENSG00000205830"
"248","ENSG00000205837"
"249","ENSG00000205861"
"250","ENSG00000205890"
"251","ENSG00000205913"
"252","ENSG00000205930"
"253","ENSG00000205971"
"254","ENSG00000206028"
"255","ENSG00000206062"
"256","ENSG00000206129"
"257","ENSG00000206142"
"258","ENSG00000206187"
"259","ENSG00000206249"
"260","ENSG00000206417"
"261","ENSG00000206552"
"262","ENSG00000207955"
"263","ENSG00000211683"
"264","ENSG00000212766"
"265","ENSG00000212855"
"266","ENSG00000212856"
"267","ENSG00000212939"
"268","ENSG00000213057"
"269","ENSG00000213121"
"270","ENSG00000213279"
"271","ENSG00000213373"
"272","ENSG00000213888"
"273","ENSG00000213981"
"274","ENSG00000214039"
"275","ENSG00000214043"
"276","ENSG00000214146"
"277","ENSG00000214293"
"278","ENSG00000214353"
"279","ENSG00000214381"
"280","ENSG00000214401"
"281","ENSG00000214407"
"282","ENSG00000214432"
"283","ENSG00000214650"
"284","ENSG00000214691"
"285","ENSG00000214708"
"286","ENSG00000214719"
"287","ENSG00000214773"
"288","ENSG00000214797"
"289","ENSG00000214803"
"290","ENSG00000214870"
"291","ENSG00000214894"
"292","ENSG00000214955"
"293","ENSG00000214970"
"294","ENSG00000215014"
"295","ENSG00000215022"
"296","ENSG00000215067"
"297","ENSG00000215112"
"298","ENSG00000215162"
"299","ENSG00000215196"
"300","ENSG00000215231"
"301","ENSG00000215241"
"302","ENSG00000215244"
"303","ENSG00000215374"
"304","ENSG00000215403"
"305","ENSG00000215458"
"306","ENSG00000215483"
"307","ENSG00000215498"
"308","ENSG00000215560"
"309","ENSG00000215866"
"310","ENSG00000216560"
"311","ENSG00000216863"
"312","ENSG00000216895"
"313","ENSG00000217455"
"314","ENSG00000217576"
"315","ENSG00000217702"
"316","ENSG00000218109"
"317","ENSG00000218357"
"318","ENSG00000218510"
"319","ENSG00000218537"
"320","ENSG00000218672"
"321","ENSG00000218839"
"322","ENSG00000219159"
"323","ENSG00000219410"
"324","ENSG00000219445"
"325","ENSG00000219665"
"326","ENSG00000220161"
"327","ENSG00000220256"
"328","ENSG00000220702"
"329","ENSG00000220891"
"330","ENSG00000221571"
"331","ENSG00000221817"
"332","ENSG00000221819"
"333","ENSG00000221949"
"334","ENSG00000222000"
"335","ENSG00000222001"
"336","ENSG00000222005"
"337","ENSG00000222012"
"338","ENSG00000222017"
"339","ENSG00000222030"
"340","ENSG00000222033"
"341","ENSG00000222035"
"342","ENSG00000222044"
"343","ENSG00000223342"
"344","ENSG00000223358"
"345","ENSG00000223381"
"346","ENSG00000223382"
"347","ENSG00000223392"
"348","ENSG00000223403"
"349","ENSG00000223432"
"350","ENSG00000223438"
"351","ENSG00000223440"
"352","ENSG00000223442"
"353","ENSG00000223466"
"354","ENSG00000223470"
"355","ENSG00000223479"
"356","ENSG00000223486"
"357","ENSG00000223492"
"358","ENSG00000223517"
"359","ENSG00000223522"
"360","ENSG00000223523"
"361","ENSG00000223525"
"362","ENSG00000223528"
"363","ENSG00000223536"
"364","ENSG00000223542"
"365","ENSG00000223561"
"366","ENSG00000223571"
"367","ENSG00000223586"
"368","ENSG00000223598"
"369","ENSG00000223608"
"370","ENSG00000223631"
"371","ENSG00000223634"
"372","ENSG00000223642"
"373","ENSG00000223643"
"374","ENSG00000223646"
"375","ENSG00000223660"
"376","ENSG00000223665"
"377","ENSG00000223675"
"378","ENSG00000223697"
"379","ENSG00000223704"
"380","ENSG00000223711"
"381","ENSG00000223714"
"382","ENSG00000223715"
"383","ENSG00000223725"
"384","ENSG00000223726"
"385","ENSG00000223727"
"386","ENSG00000223732"
"387","ENSG00000223751"
"388","ENSG00000223770"
"389","ENSG00000223774"
"390","ENSG00000223776"
"391","ENSG00000223791"
"392","ENSG00000223797"
"393","ENSG00000223799"
"394","ENSG00000223806"
"395","ENSG00000223812"
"396","ENSG00000223814"
"397","ENSG00000223823"
"398","ENSG00000223829"
"399","ENSG00000223834"
"400","ENSG00000223838"
"401","ENSG00000223842"
"402","ENSG00000223843"
"403","ENSG00000223855"
"404","ENSG00000223859"
"405","ENSG00000223910"
"406","ENSG00000223911"
"407","ENSG00000223914"
"408","ENSG00000223923"
"409","ENSG00000223930"
"410","ENSG00000223935"
"411","ENSG00000223944"
"412","ENSG00000223947"
"413","ENSG00000223960"
"414","ENSG00000223966"
"415","ENSG00000223975"
"416","ENSG00000223979"
"417","ENSG00000223991"
"418","ENSG00000223993"
"419","ENSG00000224008"
"420","ENSG00000224017"
"421","ENSG00000224018"
"422","ENSG00000224020"
"423","ENSG00000224028"
"424","ENSG00000224031"
"425","ENSG00000224038"
"426","ENSG00000224048"
"427","ENSG00000224049"
"428","ENSG00000224057"
"429","ENSG00000224063"
"430","ENSG00000224074"
"431","ENSG00000224090"
"432","ENSG00000224093"
"433","ENSG00000224100"
"434","ENSG00000224101"
"435","ENSG00000224122"
"436","ENSG00000224138"
"437","ENSG00000224141"
"438","ENSG00000224149"
"439","ENSG00000224153"
"440","ENSG00000224157"
"441","ENSG00000224173"
"442","ENSG00000224174"
"443","ENSG00000224177"
"444","ENSG00000224184"
"445","ENSG00000224187"
"446","ENSG00000224204"
"447","ENSG00000224209"
"448","ENSG00000224216"
"449","ENSG00000224223"
"450","ENSG00000224228"
"451","ENSG00000224231"
"452","ENSG00000224238"
"453","ENSG00000224239"
"454","ENSG00000224247"
"455","ENSG00000224257"
"456","ENSG00000224259"
"457","ENSG00000224260"
"458","ENSG00000224271"
"459","ENSG00000224272"
"460","ENSG00000224277"
"461","ENSG00000224281"
"462","ENSG00000224286"
"463","ENSG00000224294"
"464","ENSG00000224301"
"465","ENSG00000224308"
"466","ENSG00000224310"
"467","ENSG00000224311"
"468","ENSG00000224318"
"469","ENSG00000224322"
"470","ENSG00000224328"
"471","ENSG00000224330"
"472","ENSG00000224347"
"473","ENSG00000224356"
"474","ENSG00000224358"
"475","ENSG00000224384"
"476","ENSG00000224388"
"477","ENSG00000224391"
"478","ENSG00000224405"
"479","ENSG00000224406"
"480","ENSG00000224413"
"481","ENSG00000224417"
"482","ENSG00000224418"
"483","ENSG00000224467"
"484","ENSG00000224481"
"485","ENSG00000224490"
"486","ENSG00000224504"
"487","ENSG00000224505"
"488","ENSG00000224506"
"489","ENSG00000224509"
"490","ENSG00000224515"
"491","ENSG00000224525"
"492","ENSG00000224533"
"493","ENSG00000224568"
"494","ENSG00000224574"
"495","ENSG00000224577"
"496","ENSG00000224582"
"497","ENSG00000224583"
"498","ENSG00000224592"
"499","ENSG00000224595"
"500","ENSG00000224596"
"501","ENSG00000224609"
"502","ENSG00000224610"
"503","ENSG00000224612"
"504","ENSG00000224614"
"505","ENSG00000224635"
"506","ENSG00000224644"
"507","ENSG00000224675"
"508","ENSG00000224687"
"509","ENSG00000224691"
"510","ENSG00000224698"
"511","ENSG00000224711"
"512","ENSG00000224714"
"513","ENSG00000224715"
