,TCGA-KL-8332-01A,TCGA-KN-8426-11A,TCGA-KN-8423-01A,TCGA-KL-8327-01A,TCGA-KO-8409-01A,TCGA-KN-8430-01A,TCGA-KL-8329-01A,TCGA-KL-8338-01A,TCGA-KN-8432-11A,TCGA-KN-8429-01A,TCGA-KO-8415-11A,TCGA-KN-8436-11A,TCGA-KN-8432-01A,TCGA-KN-8424-11A,TCGA-KL-8324-11A,TCGA-KN-8437-01A,TCGA-KL-8342-01A,TCGA-KM-8443-01A,TCGA-KN-8434-01A,TCGA-KN-8429-11A,TCGA-KN-8422-11A,TCGA-KN-8435-11A,TCGA-KM-8477-01A,TCGA-KL-8331-01A,TCGA-KO-8403-01A,TCGA-KN-8433-01A,TCGA-KL-8334-01A,TCGA-KN-8424-01A,TCGA-KO-8417-01A,TCGA-KN-8430-11A,TCGA-KL-8340-01A,TCGA-KN-8421-01A,TCGA-KN-8428-01A,TCGA-KN-8427-01A,TCGA-KN-8436-01A,TCGA-KL-8333-01A,TCGA-KN-8418-01A,TCGA-KL-8345-01A,TCGA-KN-8425-01A,TCGA-KL-8323-01A,TCGA-KN-8437-11A,TCGA-KN-8435-01A,TCGA-KL-8346-01A,TCGA-KL-8326-01A,TCGA-KO-8414-01A,TCGA-KM-8441-01A,TCGA-KN-8428-11A,TCGA-KO-8406-01A,TCGA-KL-8336-11A,TCGA-KN-8431-01A,TCGA-KL-8339-11A,TCGA-KN-8423-11A,TCGA-KN-8434-11A,TCGA-KL-8325-01A,TCGA-KL-8330-01A,TCGA-KL-8343-01A,TCGA-KL-8339-01A,TCGA-KL-8326-11A,TCGA-KO-8410-01A,TCGA-KN-8425-11A,TCGA-KM-8639-01A,TCGA-KL-8336-01A,TCGA-KN-8431-11A,TCGA-KO-8403-11A,TCGA-KM-8440-01A,TCGA-KN-8427-11A,TCGA-KM-8442-01A,TCGA-KN-8419-11A,TCGA-KO-8407-01A,TCGA-KO-8408-01A,TCGA-KN-8426-01A,TCGA-KL-8341-01A,TCGA-KN-8419-01A,TCGA-KN-8433-11A,TCGA-KL-8328-01A,TCGA-KO-8413-01A,TCGA-KO-8405-01A,TCGA-KO-8404-01A,TCGA-KO-8416-01A,TCGA-KL-8344-01A,TCGA-KL-8335-01A,TCGA-KO-8411-01A,TCGA-KM-8438-01A,TCGA-KL-8324-01A,TCGA-KL-8329-11A,TCGA-KO-8415-01A,TCGA-KL-8337-01A,TCGA-KM-8439-01A,TCGA-KM-8476-01A,GTEX-ZC5H-1726-SM-5HL7X,GTEX-145MN-0326-SM-5QGQI,GTEX-ZYT6-2226-SM-5GIC9,GTEX-T6MN-1826-SM-5CHQB,GTEX-ZDXO-0226-SM-4WKH7,GTEX-13112-2126-SM-5GCO4,GTEX-12WSG-0826-SM-5EQ5A,GTEX-ZYFD-1526-SM-5NQ7T,GTEX-13RTJ-2226-SM-5S2Q1,GTEX-ZLFU-0926-SM-5P9F8,GTEX-1399S-0526-SM-5IJG8,GTEX-1497J-0826-SM-5NQAJ,GTEX-11PRG-2226-SM-5GU5R,GTEX-11OF3-1326-SM-5N9FJ,GTEX-ZYFG-1626-SM-5GZYY,GTEX-T5JC-1526-SM-4DM68,GTEX-13O1R-2526-SM-5N9FW,GTEX-QLQW-1626-SM-4R1K1,GTEX-12696-0926-SM-5FQTV,GTEX-13OW6-1826-SM-5N9F9,GTEX-ZE9C-1426-SM-4WKGM,GTEX-Y5V6-2026-SM-5IFHO,GTEX-XPVG-0526-SM-4B65N,GTEX-13NYB-1726-SM-5N9G2,GTEX-147F4-2626-SM-5Q5CS,GTEX-N7MS-1626-SM-3LK5F,GTEX-NPJ8-2226-SM-3TW8D,GTEX-WI4N-2026-SM-4OOS7
ENSG00000228434.1,0.217696154638428,0.894526235774057,0.452558798769483,0.115366394343559,0.0685300946965977,0.0738248934310783,0.505988340038151,0.238395180094212,0.286266214245751,1.06597318341305,0.0138747334856032,0.280884168924302,0.85955507666903,0.501042493186842,0.310681519138976,0.0556649084843348,0.246354067092364,0.535880979112093,0.472209561427254,0.760611706738952,0.331778657178263,0.369550094845403,0.0947251502422198,0.322914928118266,0.11763892072698,0.15466082818296,0.30491000023917,0.336281666271437,0.464928711322727,0.612635911746484,0.333041589238339,0.355489159299428,0.676752108504447,0.39664692013234,0.0922324980657386,0.338564810814253,0.278126506183049,0.143893636746159,0.257580529514147,0.634843220872813,0.620116596597528,0.539192190983154,0.351513447149697,0.158002990918184,0.125653463320055,0.0841297129215616,0.348483804482877,0.551900320888608,0.288271226580732,0.130853966523213,0.268765535004636,0.867441113466736,0.201563562606029,0.34763101257659,0.554305099721615,0.205452677194161,0.600503497023584,0.213844515073137,0.126432300878103,0.551331584652847,0.353694808604533,0.606228101358372,0.561919918768508,0.566637491720149,0.128890176224477,0.265643851559812,0.314185911714433,0.478248562335319,0.335909250943245,0.119050082863656,0.405710727582078,0.474583629959948,0.53034128247912,0.0683123335852082,0.167611196358418,0.326813597518489,0.371911364068428,1.32407785781009,0.175006139229949,0.369400669817947,0.287184128578752,0.226744332583826,0.0278543345782351,0.216628971570739,0.217412262087353,0.0712317386035108,0.481545702059375,0.00495188403332958,0.24604448014573,0.332833247343027,0.783891030678951,0.339776325429926,0.0241309392122158,0.26576040122038,0.461769766357955,0.747281703689597,0.264126324541532,0.445234960875248,0.480107328418844,0.742901971474034,0.822222998279539,0.295056724629901,0.163022166988556,0.599121305045064,0.0986286281155102,0.382925509904836,0.59855703135398,0.658776068914325,0.151805411754551,0.944771757145152,0.296210514713935,0.710829165951013,0.198882301963904,0.54176586156123,0.101196581572461,0.596449566876126,0.0499202643413951
ENSG00000231607.7,0.491896782072453,1.52075532292961,0.412724695890962,0.199839019508283,0.0824481639954587,0.769942113499976,0.552516171497505,0.540129977673837,2.09978928945332,0.568024671018157,0.901346801932051,1.01804773554402,0.71390210878072,0.850964445664738,0.915014559116856,0.854921732257092,0.744001116357661,0.406899771613732,0.618513388850291,1.8285351642021,0.624575869312589,0.765251779717649,0.355945434268058,0.744056584884771,0.691807265754468,0.205201450424124,0.595942424111799,0.930245385953287,0.619842153380767,1.63260319660371,0.426994798447963,0.872631580146233,1.29432086767268,1.72735799964648,0.420205428798961,0.971394707017402,0.51572906355986,0.880605473454499,0.246767632610872,0.900114734882238,1.19829882480318,0.788230051793125,0.424911118597615,0.168053568719121,0.363505522096242,0.663004878067649,0.613727678242904,0.639097342348166,1.01347353202252,0.199160517188031,0.632486427499562,2.22065666639626,0.6580142137046,0.922216348106319,0.604151310300714,1.06896742856709,0.98782042267668,0.725422145080586,0.445515132675278,1.01375626322338,0.634095564002987,0.981781889904795,0.791485387044567,0.875609726038743,0.325662249570263,0.991541680738485,0.625972994903264,1.29453395501135,0.430712337828034,0.552140561560115,0.610719467904511,0.87470391580981,1.04186749287679,0.701192213208899,0.376890346858609,0.692959626716066,0.401568901316141,2.84419568553646,0.308708573635538,1.00948354293429,0.266583614326896,1.00295723437886,0.523095273420126,0.300076634744862,0.749168210381463,0.574135249400499,0.758568114573894,0.48205543799623,0.274192761105073,0.739326547487088,1.1484057803966,1.02745986406999,0.260594369504932,0.777332352388401,1.01336938786984,1.64337154467564,0.500642210969493,1.22946196567602,1.28283004873992,1.35123963307635,1.0188372687902,1.36210820537965,0.939540787809039,0.982340537596881,0.878034315994836,0.951431817651623,1.68486082558166,0.98188865117557,1.04491931450612,2.13953486154167,0.55738005863394,1.13299799208536,1.39659030499319,1.41670352954948,0.828874796915609,1.27140427728725,0.260594371433347
ENSG00000234608.6,3.11332084252459,4.15214039584121,3.95894454708845,2.13092651891951,3.11731999104526,3.6166052305597,3.56166595032655,3.36240956339929,5.94468427644766,4.28312958034434,4.54825412788423,3.99212252417418,4.24632486416644,4.42337823496233,3.39937360224324,3.59237777360641,3.50731805193148,3.49064228453162,3.63444986312469,4.22284707862172,3.83523797327756,3.5058256737622,2.13723779830291,3.87853089860205,2.87724876878621,2.32255383757395,4.02263238647134,4.0562159658247,4.28471444622653,3.57626583736805,3.70692048121195,3.82212288444929,3.65928208832806,4.62509386359077,4.08003857116372,3.10803081555113,4.35272400015595,3.27529483230742,3.11669592520513,3.91455201507215,4.25786357196037,4.52937693788058,3.51206389381854,2.473859127237,4.09022441332586,3.53651689100098,3.86534869194671,3.72589328436529,3.6368835253688,3.56903708804351,3.8967261943907,4.84261597747233,3.84168122117589,4.18703153412279,3.91906745428103,4.23261095713706,4.82416672867232,3.44420053141177,3.12911952396897,4.1694116589354,3.47158306832105,3.5591605754305,4.54046526891519,3.64439595193011,3.69959850946665,3.76029252704442,4.0266036887864,4.27733791454084,3.62331804086744,3.88699805734742,4.15123175421394,4.33151545627603,2.63478426751119,3.48562538005239,3.75787727959115,3.12983272863394,2.93780854351681,5.58588292547846,2.9721998663679,4.12283836005785,3.57213058015692,3.61597210672426,3.4756294954768,3.8408235047278,3.09126635390531,3.6228589271405,3.27594763702172,3.9390206811279,2.99436752895231,4.1588026607566,4.37495691115284,4.6730935625639,1.53823102423079,3.62855420338573,4.50303246486869,4.07627978139869,3.61853490623636,4.44841133722023,4.51948463796852,4.42573071366899,4.11571543581528,3.9995818668975,3.70626350272842,3.95890828783774,4.09389480473499,3.92959236740779,4.14426581024713,4.1223983675762,3.66405365965134,4.48440205542242,3.53681535329647,4.06093842086118,4.14336989503952,4.63760694816279,4.24594093397731,4.28789504446759,2.49924344592869
ENSG00000251136.7,1.03536643603241,1.44986278313877,1.49484270263915,0.318169340438278,0.665636275749023,1.24044227116094,1.11355137818352,1.06000041729742,2.1153535057322,1.64131649030075,1.56237720596391,1.1256112805721,0.803001093034617,1.60098982940289,1.17762023085901,0.88877735952586,1.17792541246251,1.08300192822148,1.79132096378691,1.86776050348958,1.24492235867189,1.0881321899812,0.658426002608388,1.13949176887616,1.12006470607386,0.531907564603386,1.45029080576125,1.63439864630669,0.453349828249226,1.64794286466938,1.1310557574808,1.0277351636859,2.10908163673736,1.01893242783143,0.458830670741653,1.47304352897636,1.15622215160554,0.714776134012641,0.871073157068325,1.60534938826088,1.61947233888206,1.76038896738787,1.18454109812101,0.573375071862957,0.452677553960418,1.2980163167636,1.18717543580153,1.49356216847729,1.6598712216939,0.684043354973113,1.16233843456035,1.80742657599578,0.983375114746759,1.66104498316857,2.02061531761883,1.09937296328466,2.83851262467933,1.02718883357255,1.45057673052054,1.46631160869671,1.42700131399773,1.12279771985542,1.51513641512456,1.39439465885818,0.912656691882354,1.20777824992857,2.03557523393383,1.26265266650739,1.35083075034751,1.25161805754449,2.57551829354255,1.48641654851544,1.05755844912148,1.0998252003439,1.09632934538809,1.51072958703976,1.46036807256435,2.45968462712715,0.220102706689525,1.07678483923188,1.15633969949623,0.288732426502444,0.712985262691154,1.33165572298924,1.1135902768391,1.20249105564707,0.918588946022143,0.853323491206398,0.417499898936485,1.61455062257588,1.53120815628736,1.87431591966471,0.138817831688337,1.06567682559681,2.07339717903302,1.3906165169558,1.25375331343242,1.7324527184965,1.95546567159993,1.89011920189109,1.4355237319897,1.63350913056843,1.2133113462976,1.61969578491721,1.42674050674303,1.35917439423484,1.42190970605929,1.84413270921552,1.19032074020374,2.13848003442204,1.04580424729603,1.5578097960106,1.54175573292129,2.06085836118117,0.563313029541194,1.16793004582675,0.248724911875723
ENSG00000257167.2,0.774494510177579,1.36301255821635,0.726519300525342,0.686550924321296,0.64026329287561,1.83623685213458,1.49037739560567,1.21689702131955,2.01352290572496,1.49673313720385,1.29037805812948,1.55710885235253,1.33207137121262,1.33670163578955,0.791642739882829,0.278440042289521,0.885014605984837,1.79164688382719,1.06973217774649,1.70917583401784,1.30280681948647,0.94494601456866,0.431634307971228,1.76231500179199,0.749878767573899,0.494511760925888,1.43934628314399,1.40023311260318,2.05191512167819,1.10032708842594,1.30686691739892,1.72066845483075,3.40260810449355,1.11427004709362,1.25607212153487,0.520044808616237,1.95298497819504,1.39508124554927,0.540410057271459,2.18676153999536,0.980449701396841,3.00695823794958,1.75242814265631,0.23526415381492,1.26442646778257,0.336904797648921,0.862823773748506,2.36271633985678,1.53817576146409,0.870329701684237,0.79099245313673,1.60654972309511,0.74510942399942,1.03587377076467,1.53200655898141,0.770308660994495,2.14290309524097,0.75083725022113,0.668411798887278,1.79027996038546,0.749475601860551,2.67053059021828,1.24243233913746,1.25673873919985,1.23090948376855,1.03011627622803,1.0249150212303,1.78102254541547,1.18194451091918,1.81926104547639,1.81221712657191,3.11708626404198,0.437490426814911,1.25307714106584,1.2433366752965,1.02828392613846,0.332138611835557,2.62944989317152,1.23158376273726,1.23590460952313,1.49797419640206,0.83690882647979,0.713213127452498,1.20664994092058,0.689413933086912,0.951146840915985,1.25246433973366,0.527447848019418,1.01745299342429,0.906144085696924,1.40810438585669,1.59988016560247,0.616276417139542,0.959379565523325,1.79242954421537,1.26734670119774,0.803337441878306,1.25424239461804,1.34698357425636,1.44437034736068,1.06905574327584,0.896296306492903,0.97785163702184,1.53946749732618,0.863817162621821,0.839843723624957,1.84703775205625,1.36574564668903,1.01366849878363,1.97881478145659,0.78767336594891,1.42325514883863,1.05752591205296,1.55484714394334,1.08359028706944,0.838460235895931,0.694840816213299
status,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
