"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"ENTPD1-AS1",1.86663260510357,1.20523603989794,0.832389886253851,0.48540056683681,139.560627880801,0.296999170219246,1.00941162564804,1.41654924346535,0.955630045360032,0.773547865437451,2.36964817442593,0.692600425678411,2.24420159540425,1.14193349273467
"RP11-96K19.4",0.804512355533398,1.16428883811149,0.920326989957417,1.41658974308913,52.8496961734705,0.685277566969215,1.30588232009145,1.85150635399264,1.10795612114226,0.480072799316576,2.07826364438394,0.864896104280472,3.13010070082027,1.30493167271402
"CTD-2015H6.3",1.03354254169134,1.09503619706806,1.0585563805078,0.905324292717122,1.93235597722167,0.930387376425295,1.25516792247988,1.4390063165482,1.04750605354072,1.0728081590753,0.865108741049016,0.897153522480948,2.37571686174483,0.93279047025746
"RP5-1198O20.4",1.22085989712889,1.06404988109996,0.865516594167336,1.26497885869304,68.7309881369596,2.72215491034707,1.00052772151716,2.59099488228633,1.20585048903161,1.02874229798472,0.471267875617231,1.06436234148935,25.0709323439904,1.99963629903116
"AC074117.10",0.781887010057315,1.28038902684117,1.5172686470008,0.921003243881931,3.78531531869375,1.67430017351337,1.63367965351427,1.61519873405462,1.04808766751164,0.972614119267064,2.02741060241679,0.930113508715357,1.56782591421698,1.70356923972508
"RP11-197N18.2",0.343037086831873,0.557746188418158,2.12759905946589,0.190219184895809,514.439207557428,5.97658673574201,1.0901070876222,7.19800934937926,0.719747205341235,0.844563587990148,2.60406726267623,1.04733341253865,2.83986273408547,1.14758729749051
"RP11-279F6.1",0.543000438094249,1.06517942973475,0.770954111708591,0.788378489172021,2.75225722693594,0.795218168510486,1.23151685478286,1.00635000718806,0.898063842231639,0.95216905535005,1.24273247544025,1.12737168163815,1.12757697108047,1.30828435780425
"CTBP1-AS2",1.13452804858808,1.10308525284905,1.04445918211888,0.865298577883288,1.79034534532103,0.678727061438216,1.04612149183722,1.14035627549855,1.28896590643725,1.06950097354845,0.878740031745866,1.06329833339096,3.85197492223745,1.09397551736549
"RP11-263K19.4",1.07324570598825,0.783920749373113,1.70876482650216,0.866121082195894,6.84027661901676,1.56043251903854,1.15256201002165,1.17313839303215,0.886509811993876,1.11168293260651,1.56540133112421,0.994581262567822,1.43170701862365,0.999744137595935
"LINC00607",1.76585782259447,1.14844556194226,0.956674512588442,1.54552385203982,2.686174557747,2.35734661370295,3.76616497617365,1.30373639058453,0.781768469832505,1.43999275242101,0.764205449193492,1.80953528616279,0.766569165097698,3.63446992059347
