"","TCGA-BLCA","TCGA-BRCA","TCGA-COAD","TCGA-HNSC","TCGA-KICH","TCGA-KIRC","TCGA-KIRP","TCGA-LIHC","TCGA-LUAD","TCGA-LUSC","TCGA-PRAD","TCGA-STAD","TCGA-THCA","TCGA-UCEC","maxTS","specific"
"ENSG00000270112.3",0.179020803676965,0.182116431145179,0.177373398193905,0.173736424809586,0.773162223863615,0.224671015436969,0.197263077948062,0.170301957624066,0.181845178049888,0.17680635623127,0.177346864734504,0.179538103754077,0.184648470805876,0.193994075009257,0.773162223863615,"TCGA-KICH"
"ENSG00000263089.1",0.208568184665189,0.238929199653511,0.33216621980289,0.193895346084314,0.217702237351379,0.25500042605326,0.284841867363472,0.206125335389053,0.270679450221196,0.198231208408232,0.232791967960212,0.357782575898681,0.219844059013529,0.226463310742626,0.357782575898681,"TCGA-STAD"
"ENSG00000240423.1",0.252381729233415,0.213500669360846,0.215820786030529,0.304301090688933,0.200125721801542,0.194751269309282,0.202102270994002,0.195981463589013,0.226277105377342,0.235889594678384,0.231803781237765,0.22974221208654,0.361881049373687,0.360715416261197,0.361881049373687,"TCGA-THCA"
"ENSG00000231105.1",0.238718120158302,0.262116085132249,0.236886321661573,0.232202983180529,0.209506015848726,0.244421166826736,0.217742947339554,0.189428011198973,0.314633089152206,0.289691717009433,0.235005680594719,0.292564842257693,0.248350096380212,0.263208315817769,0.314633089152206,"TCGA-LUAD"
"ENSG00000262950.1",0.215008218503255,0.243041548849069,0.216062468583975,0.20065645876962,0.214847765881291,0.385302533812254,0.209622919264942,0.228181880978318,0.236025889697605,0.212303978324455,0.250495631006415,0.270452326992289,0.307123866493847,0.258198923997344,0.385302533812254,"TCGA-KIRC"
"ENSG00000255420.1",0.191834354585788,0.198042041737976,0.240777245642152,0.210299902840779,0.221550281720038,0.358000170993321,0.229107641896804,0.19157818460988,0.189306913843251,0.206148390019383,0.190293733660117,0.410848191947939,0.180949583442493,0.348850671965405,0.410848191947939,"TCGA-STAD"
"ENSG00000266261.1",0.262858772348592,0.241119975917086,0.238682102141971,0.240886366935884,0.189829687810738,0.255854226710987,0.29139676788373,0.239062522941957,0.257236243528737,0.260822977937874,0.230816389132619,0.282878861535959,0.200986213585209,0.288503109493179,0.29139676788373,"TCGA-KIRP"
"ENSG00000234900.1",0.239303642868844,0.221093022673908,0.28517132678293,0.244954057903127,0.182084304171453,0.255410805213114,0.222885159950394,0.186575694576315,0.232976235687895,0.256768951999304,0.262450083785479,0.375387877963436,0.197410530437941,0.281062902037181,0.375387877963436,"TCGA-STAD"
"ENSG00000258630.1",0.178599390834694,0.315216989716896,0.270019731022188,0.174584355919491,0.203965676777056,0.206314606964965,0.210799441448161,0.37443121810677,0.195679268861481,0.179955321115948,0.397955376959002,0.246630264152026,0.175863109034147,0.234284638959674,0.397955376959002,"TCGA-PRAD"
"ENSG00000225269.2",0.322232853457772,0.203495442561414,0.324152799765609,0.294379813403115,0.178938817093578,0.266551791044104,0.20035957980008,0.217881036325246,0.260326309327205,0.309340185147283,0.172948549756288,0.290616432713929,0.183522011032945,0.187239069193995,0.324152799765609,"TCGA-COAD"
"ENSG00000230100.1",0.236431785583939,0.215406184358632,0.215018453438577,0.243231999163061,0.187341903480381,0.320942248492983,0.220318454054475,0.216465428092522,0.206993618855718,0.207591295225603,0.212510138523701,0.419246053184735,0.214382433833053,0.298898345609816,0.419246053184735,"TCGA-STAD"
"ENSG00000266644.1",0.245634652131556,0.269082379913155,0.239584342467987,0.194939978116488,0.196557300271484,0.277652953090234,0.263060092915451,0.196408938997717,0.299694993477042,0.236651511289141,0.22899794785528,0.344363243831169,0.240372901785167,0.226900209190292,0.344363243831169,"TCGA-STAD"
"ENSG00000261789.1",0.221435013863335,0.232248301964074,0.232633533357793,0.222405682324638,0.238750575986004,0.260329404690782,0.235663703631072,0.214697507454995,0.259336918478593,0.23026159173494,0.220675438635206,0.380181735576121,0.214924794821859,0.296461042569901,0.380181735576121,"TCGA-STAD"
"ENSG00000267108.1",0.226515308837842,0.243497358968716,0.227704889069923,0.212771792005095,0.215529193122054,0.248744250181783,0.247226791709325,0.189312447603339,0.255061886490471,0.253316268231568,0.241861725564315,0.223597030049318,0.418049173162653,0.24034188991204,0.418049173162653,"TCGA-THCA"
"ENSG00000273055.1",0.238603776937934,0.219898053075157,0.247234613169167,0.203871286206522,0.267876704238615,0.256670060758251,0.427126450279607,0.200018279062088,0.237791826472526,0.2335992263343,0.199598676012122,0.248936173340326,0.226493208971003,0.227957319595713,0.427126450279607,"TCGA-KIRP"
"ENSG00000275358.1",0.189317924247949,0.219326563538807,0.235678120361637,0.18167212185943,0.250375107503185,0.283554709223861,0.213666069744395,0.219233295307329,0.238909680876455,0.205465642045183,0.265011791557821,0.23393541213884,0.436184443214654,0.246081609196409,0.436184443214654,"TCGA-THCA"
"ENSG00000269349.1",0.228244046510485,0.267976502504493,0.204893109072358,0.187932749092425,0.251143837862775,0.25833553042978,0.246331121636242,0.200030573058077,0.276257605306307,0.224434463056012,0.267249085732121,0.251699623857063,0.364834276327847,0.22857569838974,0.364834276327847,"TCGA-THCA"
"ENSG00000235523.1",0.199724453348506,0.168737923189921,0.234087703474152,0.198087715943935,0.176186767733902,0.248233665784518,0.450418586910965,0.312332032333943,0.181622850058098,0.196459590125786,0.172706081747966,0.270723014361508,0.168211339021528,0.349809931847904,0.450418586910965,"TCGA-KIRP"
