"","TCGA-BLCA","TCGA-BRCA","TCGA-COAD","TCGA-HNSC","TCGA-KICH","TCGA-KIRC","TCGA-KIRP","TCGA-LIHC","TCGA-LUAD","TCGA-LUSC","TCGA-PRAD","TCGA-STAD","TCGA-THCA","TCGA-UCEC","maxTS","specific"
"ENSG00000226688.5",0.237693819165435,0.256816147317455,0.255922664317584,0.22797375541358,0.230797608459118,0.277248936827859,0.246419400241581,0.212975203979184,0.259645431085925,0.247851703065011,0.241054500085311,0.307661567649557,0.25826468142645,0.230947631012054,0.307661567649557,"TCGA-STAD"
"ENSG00000261654.1",0.26738861697196,0.300742542951982,0.237700498383756,0.230648297093467,0.21292220985886,0.247251592034623,0.22286105540213,0.217568759714537,0.286706027375103,0.245977227087166,0.246710295309609,0.27461992892182,0.238242085713355,0.258472663151448,0.300742542951982,"TCGA-BRCA"
"ENSG00000249042.4",0.282312886605632,0.334468814629387,0.234469592066177,0.227914719072385,0.196755731223904,0.198249025861596,0.209206795226919,0.225286050451254,0.281790416693614,0.240476640448507,0.296839694065053,0.242701898808271,0.225239460560864,0.267831531602978,0.334468814629387,"TCGA-BRCA"
"ENSG00000230615.5",0.283283065750728,0.322755234840151,0.238222570461479,0.228042590706705,0.200885537331308,0.21086262441594,0.221593966939212,0.197282276331636,0.283350868546849,0.267436974121217,0.218830226600449,0.325130824241651,0.197587145405339,0.259061369072795,0.325130824241651,"TCGA-STAD"
"ENSG00000234072.1",0.279197690769942,0.247940904007321,0.266768726949026,0.234595887873998,0.211541760277483,0.227952705620677,0.245627503177013,0.237294581428499,0.260811091461961,0.279062251821738,0.247139972076334,0.272843228340189,0.232942039346157,0.25076962346725,0.279197690769942,"TCGA-BLCA"
"ENSG00000256028.2",0.27573791952189,0.248903834727686,0.2406217053431,0.224752354281401,0.233583600378874,0.253644990297566,0.282953669001107,0.225919050006168,0.270930524131741,0.265225408079064,0.252741350928554,0.226906784336406,0.250577783997778,0.243574982409315,0.282953669001107,"TCGA-KIRP"
"ENSG00000245750.6",0.172111784077892,0.261043170659985,0.203486353568658,0.171101432769345,0.178353478510388,0.291714347479638,0.186275029635614,0.315293166291577,0.310344203258719,0.198942698355436,0.472224618639963,0.191988110724445,0.178239809828683,0.194210838902199,0.472224618639963,"TCGA-PRAD"
"ENSG00000196810.4",0.239499624998207,0.268579088012857,0.239583641198816,0.232599233789179,0.242790045081531,0.252658605580909,0.259120909336503,0.231687775480056,0.262614907627015,0.246649829154255,0.275036671569859,0.247031751946491,0.258270493212365,0.244671938897692,0.275036671569859,"TCGA-PRAD"
"ENSG00000231064.4",0.238236380347534,0.269530284862239,0.21603125913117,0.203443587929833,0.212579354783452,0.251417949111155,0.252777761403085,0.193419626175851,0.293823351541901,0.243726773326702,0.224167582738239,0.234194386903354,0.281960320108253,0.347339040967523,0.347339040967523,"TCGA-UCEC"
"ENSG00000235770.4",0.227257935394798,0.319367708774461,0.2285682886171,0.197658958096341,0.217040302949703,0.236767939582427,0.227930673763035,0.303226211504516,0.316663047779626,0.22341443463139,0.192824070599574,0.207368230580968,0.337408630814128,0.205061849875566,0.337408630814128,"TCGA-THCA"
"ENSG00000239219.2",0.218007644770764,0.237623299171767,0.222808502653414,0.207161466483859,0.201608810594158,0.238153913933582,0.245338223474392,0.188398457828413,0.267842282777858,0.297209462245446,0.306330552553793,0.299938644710569,0.290538190968884,0.243238154479365,0.306330552553793,"TCGA-PRAD"
"ENSG00000259943.1",0.264368773283765,0.250669493430376,0.238263959666067,0.222799792305124,0.229375975099688,0.235496956339593,0.26934806615354,0.216652016541772,0.243184410433391,0.258242094916642,0.288336486365189,0.225161831218871,0.284531781690024,0.265119267258859,0.288336486365189,"TCGA-PRAD"
"ENSG00000245149.3",0.26106713850418,0.296650697920173,0.25640568733492,0.22282279124034,0.217647269572401,0.235660444607635,0.244694001215968,0.215227406658462,0.261745056550132,0.254481516747799,0.255452455223938,0.255044729946364,0.253118701335385,0.263177180504685,0.296650697920173,"TCGA-BRCA"
"ENSG00000248429.4",0.237835892002707,0.381921017622582,0.217907931999868,0.195696896263267,0.292437905118042,0.217370973137098,0.185408839296954,0.179159273569527,0.22851452502893,0.202264461618354,0.394354197685949,0.25302004892244,0.186195472208129,0.2162020610116,0.394354197685949,"TCGA-PRAD"
"ENSG00000248323.4",0.213706965028259,0.185297411652237,0.230592754000162,0.225074675145546,0.180149781932663,0.347668969959099,0.222343655569064,0.2552568354482,0.395904879809648,0.279079720800653,0.174343189285002,0.228797226484411,0.26587715627757,0.198975316134887,0.395904879809648,"TCGA-LUAD"
"ENSG00000250742.1",0.22599494258853,0.272840801779017,0.182961553958872,0.199065974628757,0.324783429590571,0.253957536712196,0.302047907842564,0.205587222904819,0.236473489714159,0.224723353527352,0.214610739881878,0.332981765477232,0.212012813901128,0.259094516883428,0.332981765477232,"TCGA-STAD"
"ENSG00000258441.1",0.237839191823307,0.25832620392852,0.243395828713523,0.219803939138434,0.257704400627358,0.283864366585979,0.255559021608747,0.203563430647662,0.272486599986205,0.242702622242442,0.256937261558374,0.270429924881096,0.248234011762709,0.242638792680971,0.283864366585979,"TCGA-KIRC"
"ENSG00000177640.14",0.216641930580173,0.259816225875331,0.240597464337678,0.201174547437362,0.218403879929431,0.266079346736547,0.320755759475367,0.184150682161682,0.25179024664158,0.220132290180088,0.247369022201265,0.261346955295636,0.300201371652619,0.278260262149397,0.320755759475367,"TCGA-KIRP"
