GBM_TCGA.02.0055	GBM_TCGA.06.0221	GBM_TCGA.06.0743	GBM_TCGA.06.0744	GBM_TCGA.19.1389	GBM_TCGA.19.2624	GBM_TCGA.28.2514	GBM_TCGA.32.2634	GBM_TCGA.41.5651	GBM_TCGA.76.4932
SSBP1	0	0	0	1	0	1	1	0	1	1
HOXA13	0	0	0	0	0	1	1	1	1	1
HIBADH	0	0	0	1	0	1	0	1	1	0
TAX1BP1	0	0	0	0	0	1	1	1	1	0
GRB10	0	0	0	1	0	1	1	1	1	0
STX1A	0	0	0	1	0	1	0	1	1	0
NOD1	0	0	0	1	0	1	1	1	1	0
GARS	0	1	0	1	0	1	1	1	1	0
CRHR2	0	1	0	1	0	1	1	1	1	0
EPHB6	0	1	0	1	0	1	1	1	1	0
GHRHR	0	1	0	1	0	0	1	1	1	0
CASP2	0	1	0	1	0	0	1	1	1	0
HSPB1	0	0	0	1	0	0	0	1	1	0
NPTX2	0	0	0	1	0	0	0	1	1	0
EIF3B	0	1	0	1	0	0	0	1	1	0
PTPRZ1	0	1	0	0	0	0	1	1	1	0
TAF6	0	0	0	1	0	0	0	1	1	0
WASL	0	1	0	1	0	0	1	1	1	0
AIMP2	0	1	0	1	0	0	0	1	1	0
PCOLCE	0	0	0	1	0	0	0	1	1	0
LSM5	0	1	0	1	0	0	1	1	1	0
SERPINE1	0	1	0	1	0	0	0	1	1	0
AP1S1	0	1	0	1	0	0	0	1	1	0
PLOD3	0	1	0	1	0	0	0	0	0	0
RPA3	0	1	0	1	0	0	1	1	1	0
NRF1	0	1	0	1	0	0	1	1	1	0
EZH2	0	1	0	1	0	0	1	1	1	0
MEOX2	0	0	0	1	0	0	1	1	1	0
AGR2	0	0	0	1	0	0	1	1	0	0
AHR	0	0	0	1	0	0	0	1	0	0
GLI3	0	1	0	1	0	0	1	1	0	0
PSMA2	0	1	0	1	0	0	1	1	0	0
URGCP	0	1	0	1	0	0	0	0	0	0
RHEB	0	1	0	1	0	0	1	1	0	0
POLD2	0	1	0	1	0	0	0	1	0	0
GCK	0	1	0	1	0	0	0	1	1	0
YKT6	0	1	0	0	0	0	0	1	1	0
CLIP2	0	0	0	1	0	0	0	1	1	0
LIMK1	0	0	0	1	0	0	0	1	1	0
TYRP1	0	1	0	1	0	0	1	1	1	0
MPDZ	0	1	0	1	0	0	1	1	1	0
PDLIM1	0	1	0	1	0	0	0	1	1	0
DNTT	0	0	0	1	0	0	0	1	1	0
GATA3	0	0	0	1	0	0	1	1	0	0
PHYH	0	0	0	1	0	0	1	1	0	0
DNMBP	0	0	0	1	0	0	1	1	1	0
RAB11FIP2	0	1	0	1	0	0	1	0	1	0
CXCL12	0	0	0	1	0	0	1	1	1	0
EIF3A	0	1	0	1	0	0	1	0	1	0
TRDMT1	0	0	0	1	0	0	1	0	0	0
MAPK8	0	0	0	1	0	0	1	1	1	0
SEC23IP	0	1	0	1	0	0	1	0	1	0
PLEKHA1	0	1	0	1	0	0	1	1	1	0
UNC5B	0	0	0	1	0	0	1	0	1	0
CDH23	0	0	0	1	0	0	1	1	1	0
SPOCK2	0	0	0	0	0	0	1	0	1	0
PPP3CB	0	0	0	0	0	0	1	0	1	0
BMPR1A	0	1	0	0	0	0	1	0	1	0
ACTA2	0	1	0	0	0	0	1	0	0	0
TNKS2	0	1	0	0	0	0	1	0	0	0
CUEDC2	0	0	0	0	0	1	1	0	0	0
BCCIP	0	1	0	0	0	1	1	0	0	0
SH3PXD2A	0	0	0	0	0	1	1	0	0	0
MAP3K8	0	0	0	0	0	1	1	0	0	0
DKK1	0	0	0	0	0	1	1	0	0	0
GLRX3	0	1	0	1	0	1	1	0	0	0
SORCS1	0	1	0	0	0	1	1	0	0	0
XPNPEP1	0	1	0	0	0	1	1	0	0	0
SMC3	0	1	0	0	0	1	1	0	0	0
TFAM	0	0	0	0	0	1	1	0	0	1
CCDC6	0	0	0	0	0	1	1	0	1	1
CUL2	0	0	0	0	0	1	1	0	0	1
CCNY	0	0	0	0	0	1	1	0	0	1
ZMIZ1	0	0	0	0	0	1	1	0	0	1
PBLD	0	0	0	0	0	1	1	0	0	0
LGI1	0	1	0	0	0	1	0	0	0	0
ESYT2	0	1	0	1	0	1	0	0	0	0
IDE	0	1	0	0	0	1	1	0	0	0
IFIT3	0	1	0	0	0	1	0	0	0	0
CUTC	0	0	1	0	0	1	1	0	0	0
MXI1	0	1	1	0	0	1	1	0	0	0
C10orf88	0	1	1	0	0	1	1	0	0	1
PRLHR	0	1	1	0	0	1	1	0	0	1
KCNIP2	0	0	0	0	0	1	1	0	0	1
CPN1	0	0	0	1	0	1	1	0	0	0
KIAA1217	0	0	1	1	0	1	1	0	0	0
EPC1	0	0	1	1	0	1	1	0	0	0
PILRB	0	0	0	1	0	1	0	0	0	0
LDB3	1	1	1	0	0	1	1	0	0	0
OPN4	1	1	0	1	0	1	1	0	0	0
PMS2	0	1	1	1	0	1	0	0	0	0
ZMIZ2	0	1	0	1	0	1	0	0	0	0
SEPTIN7	1	1	0	1	0	1	1	0	0	0
CBX3	0	0	0	1	1	1	1	0	0	0
HNRNPA2B1	0	0	0	1	0	1	1	0	0	0
NXPH1	0	1	0	1	0	1	1	0	0	0
NPY	0	0	1	1	0	1	1	0	0	0
HOXA7	0	1	1	1	0	1	1	0	0	0
INHBA	1	1	1	1	0	1	1	0	0	0
RAMP3	1	1	1	1	0	0	0	0	0	0
TWIST1	1	0	1	1	0	0	0	0	0	0
KIAA1549	0	1	1	1	0	0	1	0	0	0
TRIM24	0	1	1	1	1	0	1	0	0	0
CALD1	0	1	0	1	1	0	1	0	0	0
SFTPA1	0	0	0	1	1	0	1	0	0	0
SRGN	0	0	0	1	0	0	1	0	0	0
EGR2	0	0	0	1	0	0	1	0	0	1
ZWINT	1	0	0	0	0	1	1	0	0	1
OPTN	0	0	0	1	0	0	1	0	0	1
SLPI	1	0	0	0	0	0	1	0	0	0
SDC4	1	0	0	0	0	0	1	0	0	0
NCOA3	1	0	0	0	0	0	1	0	0	0
VAPB	0	0	0	0	0	0	1	0	1	0
PARD6B	0	0	0	0	0	0	1	0	1	0
CHD6	0	0	0	0	0	0	1	0	1	0
PLCG1	0	0	0	0	0	0	1	0	1	0
ZNFX1	0	0	0	0	0	0	1	0	1	0
EDN3	0	0	0	0	0	0	1	0	1	0
CSE1L	0	0	0	0	0	0	1	0	1	0
STAU1	0	0	0	0	0	0	1	0	1	0
PMEPA1	0	0	0	0	0	0	1	0	1	0
RNF114	0	0	0	0	0	0	1	0	1	0
SEMG1	0	0	0	0	0	0	1	0	1	0
TGM3	0	0	0	0	0	0	1	0	1	0
FOXA2	0	0	0	0	0	0	1	1	1	0
CD93	0	0	0	0	0	0	1	0	1	0
PAX1	0	0	0	0	0	0	0	1	1	0
NKX2-2	0	0	0	0	0	0	0	1	1	0
SNRPB	0	0	0	0	0	0	1	1	1	0
RRBP1	0	0	0	0	0	0	1	1	1	0
BMP2	0	0	0	0	0	0	1	0	1	0
PCSK2	0	0	0	0	0	0	1	0	1	0
MKKS	0	0	0	0	0	0	1	0	1	0
BFSP1	0	0	0	0	0	0	1	0	1	0
DSTN	0	0	0	0	0	0	1	0	1	0
SNRPB2	0	0	0	0	0	0	1	0	1	0
LRRN4	0	0	0	0	0	0	0	1	1	0
MRPS26	0	0	0	0	0	0	0	1	1	0
GDF5	0	0	0	0	0	0	0	1	1	0
ID1	0	0	0	0	0	0	0	1	1	0
RALY	0	0	0	0	0	0	0	1	1	0
CEP250	0	0	0	0	0	0	0	1	1	0
ASL	0	0	0	1	0	0	0	0	1	1
TRPV5	0	0	0	1	0	0	0	0	1	1
AKAP9	0	0	0	1	0	0	0	0	1	0
GNGT1	0	0	0	0	0	0	1	0	1	1
HIP1	0	0	1	1	0	0	0	0	0	0
PTPN12	0	0	1	1	0	0	1	0	0	1
GNAI1	0	0	0	1	0	0	1	0	0	1
VPREB3	0	0	0	1	0	0	1	0	0	0
YWHAH	0	0	0	1	0	0	1	0	0	0
RIBC2	0	0	0	1	0	0	1	0	0	0
POT1	0	0	0	1	0	0	1	0	0	1
PRKRIP1	0	0	0	1	0	0	0	0	0	1
PODXL	0	1	0	1	0	0	1	0	0	1
FOXP2	0	0	0	1	0	0	1	0	0	1
DNAJB9	0	1	0	1	0	0	1	0	0	1
FLNC	0	0	0	1	0	0	1	0	0	1
LRRC4	0	1	0	1	0	0	1	0	0	1
CCDC136	0	1	0	1	0	0	1	0	0	1
SMO	0	1	0	1	0	0	1	0	0	1
IRF5	0	1	0	1	0	0	1	0	0	1
DPP6	0	0	0	1	0	0	1	0	0	0
EPO	0	0	0	1	0	0	0	0	0	1
ATXN10	0	1	0	1	0	0	1	0	0	0
EXOC4	0	1	0	1	0	0	1	0	0	0
PTPRE	0	1	0	1	0	0	0	0	0	0
RIN2	0	0	1	0	0	0	1	0	0	0
PTPRA	0	0	1	0	0	0	1	0	0	0
SSTR4	0	0	1	0	0	0	1	0	0	0
PPP1R3D	0	0	1	0	0	0	1	0	0	0
ACTR3B	0	1	1	1	0	0	1	0	0	0
SFTPD	0	0	1	1	0	0	1	0	0	0
DYDC2	0	0	1	1	0	0	0	0	0	0
RBM17	0	0	1	1	0	0	0	0	0	0
IL2RA	0	0	1	1	0	0	0	0	0	0
IL15RA	0	0	1	1	0	0	0	0	0	0
OCM2	0	0	1	1	0	0	0	0	0	0
CD36	0	0	1	1	0	0	0	0	0	0
RINT1	0	1	1	1	0	0	0	0	0	0
SRPK2	0	1	1	1	0	0	0	0	0	0
TES	0	1	1	1	0	0	0	0	0	0
C7orf25	0	0	1	1	0	0	0	0	0	0
ZDHHC4	0	1	1	0	0	0	0	0	0	0
TBRG4	0	1	1	0	0	0	0	0	0	0
DDX56	0	1	1	0	0	0	0	0	0	0
HUS1	0	1	1	0	0	0	0	0	0	0
ACTR1A	1	0	1	0	0	0	0	0	0	0
LOXL4	1	0	1	0	0	0	0	0	0	0
STAMBPL1	1	1	1	0	0	0	0	0	0	0
KIF11	1	0	1	0	0	0	0	0	0	0
CUZD1	1	1	1	0	0	0	0	0	0	0
TACC2	1	0	1	0	0	0	0	0	0	0
DUSP5	1	1	1	0	0	0	0	0	0	0
ARL3	1	0	1	0	0	0	0	0	0	0
CEP55	1	1	1	0	0	0	0	0	0	0
KIF20B	1	1	1	0	0	0	0	0	0	0
PLCE1	1	1	1	0	0	0	0	0	0	0
RBP4	1	0	1	0	0	0	0	0	0	0
MYPN	1	0	1	0	0	0	0	0	0	0
RERE	1	0	1	0	0	0	0	0	0	0
GNA12	1	0	1	0	0	0	0	0	0	0
C7orf26	1	0	1	0	0	0	0	0	0	0
RBAK	1	1	0	0	0	0	0	0	0	0
EPHA1	1	1	0	0	0	0	0	0	0	0
LUC7L2	1	1	0	0	0	0	0	0	0	0
UHRF2	1	1	0	0	0	0	0	0	0	0
C22orf46	1	0	0	0	1	0	0	0	0	0
SYN3	1	0	0	0	1	0	0	0	0	0
AP4M1	1	0	0	0	0	0	0	0	0	1
APOBEC3G	1	0	0	0	0	0	0	1	0	0
AQP1	1	0	0	0	0	0	0	1	0	0
CRCP	1	0	0	0	0	0	0	1	0	0
ATP5MF	1	0	0	0	0	0	0	0	0	1
DBNDD2	1	0	1	0	0	0	0	0	0	0
RBM12	1	0	1	0	0	0	0	0	0	0
MGAM	1	0	0	0	0	0	0	0	0	1
CUX1	1	0	0	0	0	0	0	0	0	1
CARM1	0	1	1	0	0	0	0	0	0	0
RRAGA	0	1	1	0	0	0	0	0	0	1
SLC24A2	0	0	1	0	0	0	0	0	0	1
ZNF91	0	1	1	0	0	0	0	0	0	0
MLLT3	0	1	1	0	0	0	0	0	0	1
AZU1	0	1	1	0	0	0	0	0	0	0
BSG	0	1	1	0	0	0	0	0	0	0
MEX3D	0	1	1	0	0	0	0	0	0	0
NR2C2AP	0	1	1	0	0	0	0	0	0	0
EPOR	0	1	1	0	0	0	0	0	0	0
PRTN3	0	1	1	0	0	0	0	0	0	0
ELANE	0	1	1	0	0	0	0	0	0	0
MEF2B	0	1	1	0	0	0	0	0	0	0
RLN2	0	1	0	1	1	0	0	1	1	0
RLN1	0	0	0	1	1	0	0	1	0	0
IL33	0	1	1	0	1	0	1	0	0	0
